E T I
0.38 400 1
0.40 401 1
0.82 402 1
0.54 403 1
0.88 404 1
0.21 405 1
0.42 406 1
0.74 407 1
0.92 408 1
0.75 409 1
0.74 410 1
0.92 411 1
1.12 412 1
0.22 413 1
0.71 414 1
0.56 415 1
0.42 416 1
0.55 417 1
0.77 418 1
1.08 419 1
0.62 420 1
0.63 421 1
0.27 422 1
0.69 423 1
0.92 424 1
0.48 425 1
0.82 426 1
0.84 427 1
0.53 428 1
0.81 429 1
1.02 430 1
0.63 431 1
0.66 432 1
0.59 433 1
0.34 434 1
0.57 435 1
0.80 436 1
1.17 437 1
1.00 438 1
0.70 439 1
0.66 440 1
0.51 441 1
0.73 442 1
0.48 443 1
0.47 444 1
0.46 445 1
0.50 446 1
0.52 447 1
0.71 448 1
0.48 449 1
0.62 450 1
0.89 451 1
1.05 452 1
0.78 453 1
0.79 454 1
0.84 455 1
0.51 456 1
0.64 457 1
0.40 458 1
0.67 459 1
0.82 460 1
0.76 461 1
0.38 546 1
0.73 547 1
-0.10 548 1
0.35 549 1
1.14 550 1
1.74 551 1
0.77 552 1
0.25 553 1
0.38 554 1
0.58 555 1
0.31 556 1
0.60 557 1
0.59 558 1
0.42 559 1
0.55 560 1
0.52 561 1
0.57 562 1
0.56 563 1
0.48 564 1
0.37 565 1
0.47 566 1
0.73 567 1
0.84 568 1
0.89 569 1
0.58 570 1
0.79 571 1
0.81 572 1
0.72 573 1
0.90 574 1
0.55 575 1
0.33 576 1
1.40 577 1
0.65 578 1
0.62 579 1
0.81 580 1
0.75 581 1
0.63 582 1
6.15 583 1
1.16 584 1
0.66 585 1
0.67 586 1
1.41 587 1
1.23 588 1
0.66 589 1
0.64 590 1
0.71 591 1
0.54 592 1
0.73 593 1
0.32 594 1
0.68 595 1
0.61 596 1
0.80 597 1
0.56 598 1
0.47 599 1
1.01 600 1
0.92 601 1
0.83 602 1
0.96 603 1
0.62 604 1
0.37 605 1
0.65 606 1
0.36 607 1
0.54 608 1
0.68 609 1
0.56 610 1
0.48 611 1
0.65 612 1
0.50 613 1
0.73 614 1
0.53 615 1
0.61 616 1
0.59 617 1
0.93 618 1
0.28 640 1
0.14 641 1
-0.14 642 1
0.05 643 1
-0.50 644 1
0.13 645 1
0.27 646 1
0.25 647 1
-0.47 648 1
-0.18 649 1
0.12 650 1
-0.02 651 1
0.02 652 1
0.01 653 1
0.07 654 1
0.51 655 1
0.49 656 1
0.20 657 1
0.19 658 1
0.30 659 1
-0.19 660 1
-0.14 661 1
0.19 662 1
-1.55 663 1
-0.15 664 1
-0.72 665 1
0.05 666 1
0.28 667 1
-0.06 668 1
0.10 669 1
-0.15 670 1
0.09 671 1
-0.04 672 1
0.09 673 1
0.08 674 1
-0.16 675 1
-0.18 676 1
-0.29 677 1
0.17 678 1
0.10 679 1
0.00 680 1
0.06 681 1
-0.34 682 1
0.11 683 1
-0.22 684 1
0.12 685 1
-0.43 686 1
0.17 687 1
0.42 688 1
-0.01 689 1
0.15 690 1
0.14 691 1
0.02 692 1
-0.11 693 1
0.02 694 1
0.02 695 1
0.22 696 1
-0.08 697 1
0.03 698 1
0.11 699 1
0.18 700 1
-0.30 701 1
0.26 702 1
-0.06 703 1
0.56 704 1
0.09 705 1
-0.03 734 1
0.14 735 1
0.36 736 1
0.18 737 1
0.64 738 1
0.24 739 1
0.18 740 1
0.34 741 1
-0.02 742 1
0.54 812 2
0.83 813 2
0.64 814 2
0.63 815 2
0.80 816 2
0.58 817 2
0.83 818 2
0.86 819 2
0.64 820 2
0.61 821 2
0.75 822 2
0.65 823 2
0.68 824 2
0.87 825 2
0.70 826 2
0.95 827 2
0.62 828 2
0.70 829 2
0.68 830 2
0.71 831 2
0.55 832 2
0.62 833 2
0.59 834 2
0.72 835 2
0.57 836 2
0.71 837 2
0.73 838 2
0.56 839 2
1.00 840 2
0.87 841 2
0.64 842 2
0.85 843 2
0.79 844 2
0.69 845 2
0.94 846 2
0.86 847 2
0.83 848 2
0.90 849 2
0.79 850 2
0.75 851 2
0.70 852 2
0.77 853 2
0.71 854 2
0.66 855 2
0.77 856 2
0.79 857 2
0.65 858 2
0.71 859 2
0.90 860 2
0.80 861 2
0.69 862 2
0.68 863 2
0.79 864 2
0.83 865 2
0.67 866 2
0.90 867 2
0.54 868 2
0.62 869 2
0.75 870 2
0.63 871 2
0.71 872 2
0.57 873 2
0.56 874 2
0.74 875 2
0.71 876 2
0.82 877 2
0.66 878 2
0.66 879 2
0.72 880 2
0.76 881 2
0.69 882 2
0.61 883 2
0.91 884 2
0.66 885 2
0.55 886 2
0.55 887 2
0.80 888 2
0.58 889 2
0.80 890 2
0.71 891 2
0.62 892 2
0.84 893 2
0.48 894 2
0.44 895 2
0.79 896 2
0.63 897 2
0.69 898 2
0.62 899 2
0.58 900 2
0.56 901 2
0.50 902 2
0.55 903 2
0.79 904 2
0.23 905 2
0.25 906 2
0.15 907 2
0.02 908 2
0.26 909 2
0.08 910 2
-0.03 911 2
0.39 912 2
0.46 913 2
0.27 914 2
0.29 915 2
0.30 916 2
-0.01 917 2
0.19 918 2
0.10 919 2
0.15 920 2
0.11 921 2
-0.04 922 2
-0.20 923 2
-0.08 924 2
0.06 925 2
-0.05 926 2
0.21 927 2
0.35 928 2
0.17 929 2
0.08 930 2
0.54 931 2
0.22 932 2
-0.08 933 2
0.04 934 2
0.47 935 2
0.08 936 2
0.12 937 2
0.21 938 2
0.03 939 2
0.16 940 2
0.05 941 2
0.07 942 2
0.22 943 2
0.20 944 2
0.06 945 2
0.35 946 2
0.00 947 2
0.10 948 2
-0.26 949 2
0.14 950 2
0.05 951 2
-0.12 952 2
-0.05 953 2
0.09 954 2
-0.14 955 2
-0.04 956 2
0.22 957 2
0.12 958 2
0.26 959 2
0.41 960 2
0.14 961 2
-0.15 962 2
0.10 963 2
0.04 964 2
0.15 965 2
0.07 966 2
0.27 967 2
0.25 968 2
0.07 969 2
0.11 970 2
0.12 971 2
0.24 972 2
0.45 973 2
0.25 974 2
0.06 975 2
0.09 976 2
-0.08 977 2
0.12 978 2
0.17 979 2
0.17 980 2
0.18 981 2
0.38 982 2
0.11 983 2
-0.27 984 2
0.09 985 2
0.00 986 2
0.09 987 2
0.13 988 2
0.28 989 2
0.01 990 2
0.18 991 2
0.29 992 2
-0.26 993 2
-0.08 994 2
0.08 995 2
0.24 996 2
0.02 997 2
0.28 998 2
0.21 999 2
0.07 1000 2
0.03 1001 2
-0.25 1002 2
0.02 1003 2
0.02 1004 2
0.17 1005 2
0.06 1006 2
-0.00 1007 2
-0.20 1008 2
-0.14 1009 2
-0.08 1010 2
-0.01 1011 2
0.12 1012 2
0.16 1013 2
0.07 1014 2
0.09 1015 2
0.35 1016 2
-0.04 1169 2
0.11 1170 2
0.37 1171 2
0.83 1172 2
0.25 1173 2
0.22 1174 2
0.28 1175 2
0.07 1176 2
0.11 1503 2
-0.05 1577 2
0.21 1578 2
0.21 1579 2
0.28 1580 2
0.49 1581 2
0.00 1582 2
0.02 1583 2
0.34 1584 2
0.38 1585 2
-0.19 1586 2
0.31 1587 2
0.63 1588 2
0.73 1589 2
0.44 1590 2
0.50 1591 2
0.19 1592 2
-0.15 1593 2
0.20 1594 2
-0.01 1595 2
0.11 1596 2
0.05 1597 2
0.17 1598 2
0.06 1599 2
0.08 1600 2
0.62 1601 3
0.67 1602 3
0.96 1603 3
1.24 1604 3
1.00 1605 3
0.97 1606 3
0.81 1607 3
0.96 1608 3
0.74 1609 3
1.03 1610 3
0.83 1611 3
0.83 1612 3
0.80 1613 3
0.75 1614 3
0.88 1615 3
0.93 1616 3
0.84 1617 3
0.98 1618 3
0.76 1619 3
0.75 1620 3
0.84 1621 3
0.87 1622 3
1.06 1623 3
0.98 1624 3
0.71 1625 3
0.74 1626 3
0.78 1627 3
-0.16 1654 3
0.18 1655 3
-0.16 1656 3
-0.04 1657 3
-0.06 1658 3
-0.07 1659 3
-0.15 1660 3
-0.06 1661 3
0.00 1662 3
-0.00 1663 3
0.91 2413 4
1.36 2414 4
0.65 2415 4
0.69 2416 4
1.08 2417 4
0.74 2418 4
0.84 2419 4
0.60 2420 4
0.52 2421 4
0.73 2422 4
0.41 2423 4
0.75 2424 4
0.83 2425 4
0.90 2426 4
0.65 2427 4
0.42 2428 4
0.30 2429 4
4.47 2430 4
1.64 2431 4
0.21 2432 4
0.92 2433 4
0.23 2434 4
0.92 2435 4
0.70 2436 4
1.08 2437 4
0.96 2438 4
0.83 2439 4
0.54 2440 4
0.62 2441 4
0.69 2442 4
0.70 2443 4
0.90 2444 4
0.85 2445 4
0.84 2446 4
0.61 2447 4
0.83 2448 4
