E T I
0.82 400 1
0.84 401 1
0.53 402 1
0.81 403 1
1.02 404 1
0.63 405 1
0.66 406 1
0.59 407 1
0.34 408 1
0.57 409 1
0.80 410 1
1.17 411 1
1.00 412 1
0.70 413 1
0.66 414 1
0.51 415 1
0.73 416 1
0.48 417 1
0.47 418 1
0.46 419 1
0.50 420 1
0.52 421 1
0.71 422 1
0.48 423 1
0.62 424 1
0.89 425 1
1.05 426 1
0.78 427 1
0.79 428 1
0.84 429 1
0.51 430 1
0.64 431 1
0.40 432 1
0.67 433 1
0.82 434 1
0.76 435 1
0.38 436 1
0.73 437 1
-0.10 438 1
0.35 439 1
1.14 440 1
0.77 441 1
0.25 442 1
0.38 443 1
0.58 444 1
0.31 445 1
0.60 446 1
0.59 447 1
0.42 448 1
0.55 449 1
0.52 450 1
0.57 451 1
0.56 452 1
0.48 453 1
0.37 454 1
0.47 455 1
0.73 456 1
0.84 457 1
0.89 458 1
0.58 459 1
0.79 460 1
0.81 461 1
0.72 462 1
0.90 463 1
0.55 464 1
0.33 465 1
0.65 466 1
0.62 467 1
0.81 468 1
0.75 469 1
0.63 470 1
1.16 471 1
0.66 472 1
0.67 473 1
0.66 474 1
0.64 475 1
0.71 476 1
0.54 477 1
0.73 478 1
0.32 479 1
0.68 480 1
0.61 481 1
0.80 482 1
0.56 483 1
0.47 484 1
1.01 485 1
0.92 486 1
0.83 487 1
0.96 488 1
0.62 489 1
0.37 490 1
0.65 491 1
0.36 492 1
0.54 493 1
0.68 494 1
0.56 495 1
0.48 496 1
0.65 497 1
0.50 498 1
0.73 499 1
0.53 500 1
0.61 501 1
0.59 502 1
0.93 503 1
0.28 504 1
0.14 505 1
-0.14 506 1
0.05 507 1
0.13 508 1
0.27 509 1
0.25 510 1
-0.18 511 1
0.12 512 1
-0.02 513 1
0.02 514 1
0.01 515 1
0.07 516 1
0.51 517 1
0.49 518 1
0.20 519 1
0.19 520 1
0.30 521 1
-0.19 522 1
-0.14 523 1
0.19 524 1
-0.15 525 1
0.05 526 1
0.28 527 1
-0.06 528 1
0.10 529 1
-0.15 530 1
0.09 531 1
-0.04 532 1
0.09 533 1
0.08 534 1
-0.16 535 1
-0.18 536 1
0.17 537 1
0.10 538 1
0.00 539 1
0.06 540 1
0.11 541 1
