DemDexc	AemDexc	E	T
1079.7613	274.2129	0.2042	0.05
756.4323	372.0968	0.3951	0.1
185.9484	429.7935	0.7866	0.15000000000000002
506.4387	386.929	0.5253	0.2
403.7871	222.729	0.4294	0.25
641.4968	528.0516	0.5465	0.3
15.6387	337.6129	0.9728	0.35000000000000003
290.4516	239.3613	0.5469	0.4
283.1935	501.1806	0.7357	0.45
360.4323	246.4387	0.4931	0.5
323.7806	278.8774	0.5592	0.55
282.9097	332.9161	0.6422	0.6000000000000001
198.3742	307.0452	0.707	0.6500000000000001
339.8903	349.3032	0.6073	0.7000000000000001
214.5548	310.2581	0.6917	0.7500000000000001
330.8065	434.1226	0.6689	0.8
229.4903	349.9935	0.7037	0.8500000000000001
197.3032	281.3226	0.6884	0.9000000000000001
292.8258	304.4839	0.6103	0.9500000000000001
168.5613	343.8645	0.7638	1.0
311.1677	372.0839	0.6462	1.05
336.9161	236.6452	0.501	1.1
290.4	476.3032	0.7196	1.1500000000000001
333.8645	340.6	0.6053	1.2000000000000002
341.6516	405.2323	0.6441	1.2500000000000002
190.3484	593.9677	0.8343	1.3
267.8194	533.0194	0.7591	1.35
229.8516	499.7548	0.7756	1.4000000000000001
391.4387	354.3226	0.573	1.4500000000000002
457.3742	437.9226	0.5883	1.5000000000000002
302.9677	464.5613	0.7049	1.55
112.529	312.1806	0.8168	1.6
246.0903	382.0903	0.7077	1.6500000000000001
264.1677	500.4645	0.7494	1.7000000000000002
545.9097	519.1161	0.5865	1.7500000000000002
431.2452	294.1806	0.4925	1.8
521.529	226.2065	0.3574	1.85
365.9355	229.6129	0.4678	1.9000000000000001
229.4387	578.3032	0.8014	1.9500000000000002
129.0194	369.9548	0.8218	2.0
271.0387	542.2258	0.7601	2.05
348.9032	515.7677	0.6967	2.1
190.671	315.4387	0.7215	2.15
64.9032	446.2194	0.9186	2.1999999999999997
307.0129	547.2774	0.7371	2.25
433.6	491.6645	0.6328	2.3
284.5548	462.5677	0.7177	2.35
291.5806	476.9742	0.7191	2.4
312.9097	342.0452	0.6234	2.45
239.3548	429.0839	0.7383	2.5
198.3097	480.3871	0.7947	2.55
373.2903	524.5419	0.6851	2.6
524.3871	647.8194	0.6543	2.65
476.8516	449.4387	0.5841	2.7
117.2839	467.4194	0.8662	2.75
260.4516	396.7419	0.7035	2.8
403.7935	487.4645	0.6485	2.85
198.0452	390.0194	0.757	2.9
282.529	300.0387	0.6159	2.95
344.8581	455.6194	0.6705	3.0
90.6968	446.1097	0.8893	3.05
105.3226	677.8065	0.9135	3.1
375.0323	354.0516	0.5845	3.15
240.4387	405.3355	0.7255	3.2
416.6129	470.1097	0.6315	3.25
424.6968	528.8129	0.6562	3.3
272.0581	312.8903	0.6364	3.35
205.329	629.3742	0.8317	3.4
75.8645	322.2581	0.8736	3.45
-36.3548	540.4839	1.0418	3.5
146.7161	500.4323	0.8466	3.55
209.4	717.8645	0.8473	3.6
184.6129	588.8903	0.8374	3.65
106.5677	438.5935	0.87	3.7
95.3032	473.4452	0.8903	3.75
58.9935	515.4516	0.935	3.8
441.6	476.1032	0.6198	3.85
277.5484	492.4452	0.7362	3.9
175.729	735.1419	0.8719	3.95
64.5677	554.4645	0.934	4.0
155.6581	360.129	0.7867	4.05
253.8258	439.4774	0.7311	4.1
-38.8129	502.5548	1.0482	4.15
432.271	426.7742	0.5966	4.2
554.7742	545.4452	0.5955	4.25
471.0839	576.1935	0.6518	4.3
48.2839	517.2387	0.9465	4.35
453.7355	530.7742	0.6407	4.4
141.6903	557.6516	0.8647	4.45
135.0581	543.8065	0.8674	4.5
15.7935	416.2	0.9777	4.55
-30.4516	562.1742	1.0334	4.6
85.8129	604.0	0.9204	4.65
171.7677	690.0774	0.8672	4.7
236.071	335.0323	0.6874	4.75
345.929	618.271	0.7377	4.8
124.2452	437.1097	0.8507	4.8500000000000005
-8.8839	593.3742	1.0091	4.9
312.4516	485.0065	0.7076	4.95
207.271	548.1484	0.8092	5.0
16.7871	673.9871	0.9852	5.05
-133.6516	550.3677	1.1658	5.1000000000000005
88.1677	435.2258	0.8896	5.15
127.0129	571.7871	0.88	5.2
85.5484	336.9742	0.8648	5.25
200.0129	524.2387	0.8078	5.3
405.6129	375.9484	0.5795	5.3500000000000005
170.5097	311.271	0.742	5.4
319.7871	629.1742	0.7568	5.45
340.2387	535.2581	0.7106	5.5
-3.2129	567.9613	1.0034	5.55
272.8645	371.1613	0.6775	5.6000000000000005
213.2	445.7097	0.7684	5.65
205.2387	612.3742	0.8278	5.7
343.6581	579.6968	0.7256	5.75
322.0452	622.9613	0.7535	5.8
462.5613	344.6065	0.5181	5.8500000000000005
183.4516	676.1419	0.8567	5.9
141.1097	476.3935	0.8452	5.95
371.4194	422.3484	0.6335	6.0
226.129	645.2968	0.8211	6.05
576.871	463.2065	0.5395	6.1000000000000005
277.3935	651.8129	0.7895	6.15
497.671	400.529	0.5402	6.2
436.8645	723.6516	0.7218	6.25
397.0129	342.9935	0.5601	6.3
473.6194	582.0	0.6529	6.3500000000000005
80.2774	545.2581	0.9177	6.4
108.4194	354.1871	0.8407	6.45
79.9226	517.5097	0.914	6.5
210.671	610.4452	0.8234	6.55
184.6581	430.1871	0.788	6.6000000000000005
52.4645	390.6968	0.9245	6.65
214.5226	388.2774	0.7403	6.7
-115.4581	363.8645	1.2263	6.75
263.8065	587.6387	0.78	6.8
123.2645	517.1097	0.8722	6.8500000000000005
126.9419	525.8581	0.8708	6.9
-4.0323	515.3226	1.0047	6.95
289.3935	470.2452	0.7176	7.0
100.3032	643.7226	0.9133	7.05
346.1871	406.9613	0.6419	7.1000000000000005
207.5226	507.6774	0.7964	7.15
141.2065	466.2258	0.8422	7.2
373.3419	467.9613	0.6578	7.25
380.5161	657.8129	0.7308	7.3
75.7806	543.3871	0.9218	7.3500000000000005
24.1613	423.2387	0.9667	7.4
44.7419	532.7419	0.9516	7.45
241.7935	557.7419	0.7862	7.5
83.6	299.4903	0.853	7.55
372.5032	560.0323	0.7005	7.6000000000000005
228.6129	532.6839	0.788	7.65
390.071	412.3677	0.6147	7.7
447.471	551.3613	0.6536	7.75
19.4194	554.2903	0.9793	7.8
385.2968	694.7032	0.7395	7.8500000000000005
454.2581	539.7548	0.6446	7.9
323.3097	610.4258	0.7487	7.95
326.4323	570.071	0.7329	8.0
510.1677	556.8387	0.623	8.05
449.2839	449.671	0.6002	8.100000000000001
289.7548	509.1419	0.7342	8.15
20.2903	557.5419	0.9786	8.200000000000001
198.9871	576.9355	0.8235	8.250000000000002
273.0839	507.1484	0.7455	8.3
195.1935	442.9226	0.7833	8.350000000000001
335.4645	348.1032	0.6098	8.4
274.7226	568.6581	0.7665	8.450000000000001
152.0839	445.6065	0.8251	8.500000000000002
272.729	567.4839	0.7675	8.55
384.1355	487.3871	0.6608	8.600000000000001
190.0968	274.2065	0.6911	8.65
8.2194	466.5613	0.9895	8.700000000000001
-143.0581	576.9742	1.1698	8.750000000000002
574.6903	494.9935	0.5593	8.8
460.0581	212.1677	0.3758	8.850000000000001
483.5871	508.3226	0.6132	8.9
36.6065	696.6645	0.9693	8.950000000000001
177.9806	479.7871	0.8122	9.000000000000002
148.5806	549.0194	0.857	9.05
63.6258	359.5871	0.9025	9.100000000000001
431.8839	552.2323	0.6627	9.15
175.0839	384.6645	0.7775	9.200000000000001
104.8065	456.671	0.8765	9.250000000000002
286.2774	643.6903	0.7817	9.3
