DemDexc	AemDexc	E	T
652.56	646.56	0.5975	0.05
470.56	555.84	0.6431	0.1
265.78	407.5	0.7049	0.15000000000000002
-181.02	333.76	1.4465	0.2
-62.3	468.14	1.0855	0.25
69.12	357.1	0.8941	0.3
-112.38	160.02	1.6494	0.35000000000000003
-130.08	463.26	1.196	0.4
88.7	462.68	0.895	0.45
354.1	296.38	0.5512	0.5
184.7	563.08	0.8309	0.55
-115.02	729.84	1.1026	0.6000000000000001
178.38	473.2	0.8097	0.6500000000000001
-142.72	673.44	1.1422	0.7000000000000001
193.48	498.5	0.805	0.7500000000000001
-57.0	711.62	1.0501	0.8
111.84	515.18	0.8825	0.8500000000000001
263.24	526.6	0.76	0.9000000000000001
270.92	387.24	0.689	0.9500000000000001
151.82	302.72	0.7594	1.0
-52.12	576.34	1.0568	1.05
-107.04	690.14	1.1009	1.1
-157.72	413.98	1.2824	1.1500000000000001
130.78	458.24	0.8501	1.2000000000000002
179.36	445.72	0.799	1.2500000000000002
237.76	525.34	0.7786	1.3
14.44	478.48	0.9822	1.35
350.3	597.48	0.728	1.4000000000000001
448.62	511.12	0.634	1.4500000000000002
225.6	487.82	0.7746	1.5000000000000002
176.08	339.92	0.7531	1.55
178.6	361.48	0.7623	1.6
-231.36	279.1	1.8494	1.6500000000000001
22.86	546.2	0.9754	1.7000000000000002
356.48	523.96	0.6954	1.7500000000000002
404.06	325.74	0.5406	1.8
140.18	560.1	0.8665	1.85
83.38	365.9	0.8773	1.9000000000000001
-4.62	565.98	1.0049	1.9500000000000002
193.4	369.1	0.7509	2.0
22.54	514.86	0.9743	2.05
157.74	500.36	0.8366	2.1
52.42	435.86	0.9319	2.15
3.08	430.42	0.9957	2.1999999999999997
-5.32	570.98	1.0056	2.25
344.52	370.16	0.6189	2.3
-44.08	466.06	1.0596	2.35
94.48	412.82	0.8768	2.4
-7.56	329.08	1.0139	2.45
138.56	433.02	0.8345	2.5
-83.24	464.1	1.1182	2.55
-252.92	215.48	2.7047	2.6
39.9	438.5	0.9478	2.65
48.6	264.64	0.8991	2.7
472.94	462.46	0.594	2.75
-28.6	366.02	1.0488	2.8
301.3	388.88	0.6649	2.85
8.1	211.54	0.9775	2.9
168.54	358.78	0.7718	2.95
-7.4	78.38	1.0595	3.0
77.5	174.44	0.7819	3.05
22.92	216.26	0.9396	3.1
-111.26	207.58	1.4393	3.15
380.72	294.22	0.5286	3.2
221.96	212.12	0.5878	3.25
161.82	323.84	0.7601	3.3
188.02	250.76	0.6728	3.35
197.22	201.3	0.6054	3.4
143.08	259.94	0.741	3.45
156.44	355.16	0.7834	3.5
244.52	230.18	0.5837	3.55
-22.5	266.4	1.0529	3.6
33.22	495.68	0.9611	3.65
84.16	336.06	0.8665	3.7
109.6	197.72	0.7396	3.75
4.12	374.98	0.9934	3.8
-153.12	253.24	1.52	3.85
227.54	205.94	0.573	3.9
-63.28	260.56	1.1659	3.95
-135.26	382.44	1.2578	4.0
192.58	356.58	0.7449	4.05
147.1	314.64	0.7726	4.1
172.12	405.86	0.7901	4.15
110.14	396.96	0.8538	4.2
164.88	329.78	0.76	4.25
144.32	276.1	0.7514	4.3
-35.84	316.9	1.0719	4.35
73.72	286.04	0.863	4.4
310.82	386.06	0.6556	4.45
-154.2	345.54	1.3447	4.5
196.82	387.48	0.757	4.55
409.6	262.84	0.4745	4.6
332.48	289.06	0.5619	4.65
28.98	214.42	0.924	4.7
322.58	381.0	0.6431	4.75
370.46	511.2	0.6808	4.8
602.74	416.74	0.4964	4.8500000000000005
29.92	409.4	0.9577	4.9
131.82	283.72	0.7738	4.95
98.36	303.08	0.8325	5.0
121.08	282.3	0.7881	5.05
411.56	356.22	0.5606	5.1000000000000005
179.94	424.44	0.7901	5.15
135.52	288.04	0.7715	5.2
309.38	309.46	0.6001	5.25
162.32	249.42	0.7054	5.3
355.2	440.0	0.6549	5.3500000000000005
136.22	238.1	0.7331	5.4
269.42	344.52	0.6627	5.45
244.68	255.96	0.6119	5.5
50.74	291.38	0.9039	5.55
-10.92	351.44	1.0189	5.6000000000000005
-22.14	202.46	1.0694	5.65
-119.98	157.66	1.7371	5.7
43.64	227.66	0.895	5.75
-44.6	247.0	1.1191	5.8
214.82	265.8	0.6546	5.8500000000000005
39.44	402.76	0.944	5.9
71.02	185.4	0.8071	5.95
64.38	346.28	0.8979	6.0
218.12	269.08	0.6539	6.05
137.54	349.76	0.8028	6.1000000000000005
339.82	170.62	0.4013	6.15
-99.56	345.3	1.2021	6.2
83.22	368.56	0.8783	6.25
-109.82	310.36	1.2579	6.3
0.86	172.42	0.997	6.3500000000000005
239.86	369.34	0.7059	6.4
-30.96	220.14	1.0908	6.45
114.32	378.48	0.8425	6.5
159.34	165.94	0.6107	6.55
-28.18	340.32	1.0518	6.6000000000000005
-86.4	271.42	1.2271	6.65
841.92	271.54	0.2705	6.7
741.88	365.82	0.3958	6.75
335.72	317.74	0.5852	6.8
-17.58	112.1	1.1021	6.8500000000000005
-9.2	256.54	1.0219	6.9
125.46	226.66	0.7399	6.95
-130.44	207.76	1.5491	7.0
181.98	236.12	0.6662	7.05
