DemDexc	AemDexc	E	T
1909.4	682.4452	0.3002	0.05
1206.24	673.5935	0.4331	0.1
539.34	619.8645	0.6362	0.15000000000000002
366.82	464.9935	0.6606	0.2
229.78	420.5355	0.7425	0.25
81.6	408.3161	0.891	0.3
59.04	314.7742	0.8971	0.35000000000000003
517.92	545.7161	0.6138	0.4
248.7	542.5935	0.7763	0.45
161.34	486.0516	0.8292	0.5
321.82	585.8194	0.7414	0.55
320.82	522.129	0.718	0.6000000000000001
422.84	447.2645	0.6148	0.6500000000000001
1280.02	94.0645	-0.0462	0.7000000000000001
1243.3	186.871	0.0774	0.7500000000000001
641.64	456.4065	0.5047	0.8
587.34	448.5548	0.5252	0.8500000000000001
336.56	543.3032	0.7162	0.9000000000000001
340.26	614.5677	0.7398	0.9500000000000001
312.78	613.3613	0.7562	1.0
86.28	429.6903	0.8905	1.05
423.82	743.871	0.7339	1.1
665.42	542.3677	0.5438	1.1500000000000001
275.74	469.329	0.7275	1.2000000000000002
465.58	588.8452	0.66	1.2500000000000002
680.8	662.4903	0.5927	1.3
527.22	647.7419	0.6529	1.35
223.42	419.5871	0.7477	1.4000000000000001
326.62	588.8839	0.7395	1.4500000000000002
474.82	451.6774	0.5866	1.5000000000000002
477.18	463.4452	0.5922	1.55
449.58	536.2452	0.6456	1.6
366.46	598.7742	0.7188	1.6500000000000001
216.2	428.2903	0.7582	1.7000000000000002
292.06	477.5226	0.719	1.7500000000000002
310.02	378.8	0.6515	1.8
382.4	509.671	0.6726	1.85
479.16	404.5161	0.5536	1.9000000000000001
705.08	419.4968	0.452	1.9500000000000002
235.92	758.5097	0.8385	2.0
548.04	566.5742	0.6088	2.05
222.88	432.5355	0.7542	2.1
573.86	603.1355	0.6132	2.15
115.58	419.6194	0.8547	2.1999999999999997
267.28	574.2839	0.7735	2.25
530.9	628.5742	0.6437	2.3
89.56	458.5806	0.8932	2.35
363.56	771.0774	0.7711	2.4
358.56	528.1613	0.6959	2.45
498.1	481.5613	0.5909	2.5
256.36	475.5484	0.7452	2.55
523.5	533.3548	0.605	2.6
513.82	613.2774	0.6457	2.65
410.56	493.5419	0.6475	2.7
243.74	501.0	0.7652	2.75
530.84	462.9161	0.5627	2.8
613.82	457.5806	0.5183	2.85
447.52	579.3613	0.6657	2.9
323.34	639.9935	0.758	2.95
343.64	526.329	0.7047	3.0
398.1	518.2129	0.667	3.05
613.56	574.7355	0.5824	3.1
369.38	429.0452	0.6389	3.15
448.92	519.0645	0.6377	3.2
474.18	801.9742	0.7262	3.25
783.86	478.6258	0.4598	3.3
1055.6	466.1806	0.3628	3.35
373.54	424.2645	0.6332	3.4
521.78	487.6	0.5817	3.45
282.0	459.3484	0.7182	3.5
253.94	448.6258	0.7353	3.55
228.7	575.3742	0.8011	3.6
541.14	351.8129	0.4783	3.65
392.88	411.4774	0.6122	3.7
266.02	363.7548	0.6787	3.75
220.5	290.5742	0.6699	3.8
217.58	458.2645	0.7698	3.85
169.08	394.0129	0.788	3.9
188.06	409.9226	0.7761	3.95
355.36	615.9548	0.7313	4.0
538.74	586.4	0.6223	4.05
278.92	524.6903	0.748	4.1
496.02	351.271	0.5034	4.15
313.7	527.4065	0.7249	4.2
429.96	541.2516	0.6589	4.25
394.18	469.0323	0.6449	4.3
304.52	697.2645	0.7849	4.35
569.44	653.8516	0.636	4.4
108.96	740.4	0.9178	4.45
251.26	686.9613	0.8145	4.5
588.36	754.8516	0.6635	4.55
-63.86	551.8194	1.0737	4.6
275.42	477.8387	0.7315	4.65
620.18	380.5548	0.4612	4.7
472.68	535.8839	0.6327	4.75
318.16	705.9677	0.7793	4.8
390.5	551.5032	0.6862	4.8500000000000005
440.06	536.1742	0.6508	4.9
172.94	604.4129	0.8498	4.95
427.36	544.2903	0.6617	5.0
570.42	634.6323	0.6279	5.05
143.8	614.4065	0.8743	5.1000000000000005
513.28	343.5097	0.4868	5.15
854.1	170.4258	0.1423	5.2
539.0	337.5484	0.4673	5.25
870.0	537.071	0.463	5.3
615.52	331.1226	0.4219	5.3500000000000005
438.7	516.6	0.6423	5.4
731.28	547.4516	0.5195	5.45
599.48	530.6129	0.5668	5.5
408.58	628.2129	0.7055	5.55
379.52	491.729	0.6659	5.6000000000000005
177.92	642.129	0.854	5.65
329.28	634.1677	0.7527	5.7
549.68	893.729	0.7178	5.75
320.24	527.0323	0.7204	5.8
271.5	442.1355	0.7181	5.8500000000000005
892.32	552.8903	0.4641	5.9
474.1	644.1677	0.6772	5.95
566.04	603.9226	0.6171	6.0
319.68	442.2387	0.6814	6.05
260.0	365.2323	0.685	6.1000000000000005
385.56	448.0	0.639	6.15
557.06	502.529	0.5721	6.2
212.58	337.2968	0.7125	6.25
335.56	414.2387	0.6541	6.3
257.28	472.2	0.7431	6.3500000000000005
370.1	357.6	0.5908	6.4
413.68	254.3484	0.4618	6.45
514.28	328.2323	0.4729	6.5
923.92	455.8516	0.396	6.55
276.9	400.7613	0.6919	6.6000000000000005
476.14	262.0194	0.4287	6.65
559.42	544.7226	0.5929	6.7
475.28	389.1419	0.545	6.75
465.46	397.9226	0.5572	6.8
259.7	368.1742	0.6871	6.8500000000000005
608.06	472.9613	0.5305	6.9
1094.74	87.4581	-0.0347	6.95
964.88	302.9419	0.2629	7.0
868.6	-15.6065	-0.2447	7.05
