DemDexc	AemDexc	E	T
1089.7806	498.8562	0.3735	0.05
807.4581	378.8062	0.3809	0.1
7.0387	395.3625	0.9894	0.15000000000000002
403.671	302.7375	0.52	0.2
340.0968	244.7688	0.5081	0.25
194.7161	65.7437	0.2837	0.3
-66.9355	119.625	1.4661	0.35000000000000003
261.8323	110.6625	0.3497	0.4
-43.4194	234.9125	1.1222	0.45
673.6903	10.1687	-0.1648	0.5
154.4516	-53.2312	-2.8622	0.55
-73.9032	72.125	2.2607	0.6000000000000001
108.0516	-7.1313	-0.3825	0.6500000000000001
281.5806	210.25	0.5187	0.7000000000000001
-55.4839	377.75	1.0951	0.7500000000000001
59.8387	206.4	0.8481	0.8
201.1032	300.4563	0.6991	0.8500000000000001
130.4774	258.5938	0.7583	0.9000000000000001
396.271	148.6438	0.3144	0.9500000000000001
-101.1419	335.6938	1.2128	1.0
475.071	155.9312	0.2756	1.05
332.329	304.5437	0.5764	1.1
85.8839	444.65	0.8943	1.1500000000000001
239.3419	254.6812	0.6164	1.2000000000000002
155.7355	161.7812	0.6101	1.2500000000000002
205.9871	304.9688	0.697	1.3
8.2258	249.8562	0.9806	1.35
302.2903	404.8813	0.6738	1.4000000000000001
229.0774	273.4062	0.6457	1.4500000000000002
81.4	187.8562	0.7863	1.5000000000000002
406.8258	265.9688	0.48	1.55
248.5742	304.95	0.6525	1.6
306.7161	273.2125	0.5686	1.6500000000000001
378.3097	218.3062	0.4429	1.7000000000000002
69.7097	299.15	0.8748	1.7500000000000002
523.9677	314.05	0.4542	1.8
220.4194	242.325	0.6249	1.85
274.3419	295.7188	0.6198	1.9000000000000001
156.671	207.4312	0.6711	1.9500000000000002
410.0065	353.9312	0.5599	2.0
-13.4968	329.2063	1.0251	2.05
-171.6903	288.3313	1.5087	2.1
286.5677	86.9125	0.2531	2.15
80.0452	342.3938	0.8744	2.1999999999999997
322.8516	185.6562	0.4419	2.25
357.1484	143.575	0.3348	2.3
-22.4516	193.2437	1.074	2.35
41.5161	151.5938	0.8555	2.4
215.6258	182.8062	0.5548	2.45
436.1871	131.2125	0.2508	2.5
473.7161	316.625	0.4865	2.55
173.6	338.2375	0.7549	2.6
250.4258	259.5437	0.6095	2.65
29.5355	46.9375	0.7128	2.7
63.3613	156.725	0.7982	2.75
47.7613	368.525	0.927	2.8
58.4129	342.4438	0.9057	2.85
150.3161	318.6313	0.771	2.9
153.5226	264.3875	0.73	2.95
50.2194	70.5938	0.6852	3.0
351.5484	401.0813	0.6343	3.05
220.1355	271.925	0.6542	3.1
305.2129	303.9187	0.5989	3.15
281.5032	373.0063	0.6712	3.2
342.2194	309.8938	0.5731	3.25
172.6129	550.7375	0.8374	3.3
529.7226	516.6063	0.5933	3.35
222.2258	514.1313	0.7867	3.4
205.1935	404.4937	0.7572	3.45
270.6323	533.4688	0.7572	3.5
44.7677	291.7437	0.9145	3.55
484.2903	524.7812	0.6211	3.6
258.0	404.6938	0.7099	3.65
127.6774	207.525	0.7177	3.7
154.4258	363.625	0.7898	3.75
38.2968	242.3625	0.9121	3.8
81.1097	516.3813	0.9126	3.85
463.1484	262.4438	0.4375	3.9
121.0323	373.3875	0.8326	3.95
-17.2516	464.9812	1.0227	4.0
75.5097	451.8813	0.9075	4.05
67.3032	394.3625	0.9057	4.1
-187.2452	498.2063	1.2777	4.15
159.2452	429.1625	0.8122	4.2
283.3806	471.4438	0.7227	4.25
77.3161	343.1562	0.8785	4.3
398.5226	558.0187	0.6842	4.35
-72.2839	503.2563	1.0928	4.4
-204.4065	490.7063	1.3157	4.45
150.1161	251.65	0.7243	4.5
128.2839	274.2312	0.7725	4.55
549.4968	388.3813	0.5028	4.6
421.7742	424.9625	0.602	4.65
287.1806	127.75	0.365	4.7
225.8452	400.625	0.7361	4.75
214.2194	574.7375	0.8115	4.8
63.2839	349.3313	0.9003	4.8500000000000005
-53.0065	533.6688	1.0627	4.9
215.9419	268.6562	0.656	4.95
354.8839	407.7563	0.6361	5.0
161.6645	467.0312	0.823	5.05
113.0581	516.5938	0.8816	5.1000000000000005
180.3742	383.2875	0.7714	5.15
155.2645	416.1562	0.8113	5.2
137.1871	429.4812	0.8347	5.25
57.8581	603.4312	0.9451	5.3
271.9935	429.8875	0.7116	5.3500000000000005
312.1613	387.1562	0.6552	5.4
337.2903	392.3562	0.6393	5.45
-87.4065	217.4312	1.3019	5.5
-82.1677	439.3062	1.1238	5.55
223.2516	423.4312	0.7497	5.6000000000000005
-86.5355	366.6375	1.1606	5.65
169.5806	481.8	0.8204	5.7
365.7032	407.8938	0.6286	5.75
235.8323	464.6	0.7571	5.8
-58.9935	512.25	1.0733	5.8500000000000005
75.4968	616.4062	0.9308	5.9
179.4968	542.8875	0.8298	5.95
33.1806	558.9438	0.9654	6.0
555.1548	319.45	0.4421	6.05
219.0323	433.1812	0.7578	6.1000000000000005
303.2194	602.8687	0.7589	6.15
-24.8129	463.9812	1.033	6.2
316.6839	598.8125	0.749	6.25
361.1613	463.6438	0.6636	6.3
200.9355	700.1938	0.8494	6.3500000000000005
330.0903	591.6313	0.7383	6.4
227.2194	824.7188	0.8547	6.45
86.1226	491.2375	0.9033	6.5
209.0968	346.3188	0.7217	6.55
252.1677	417.6438	0.7217	6.6000000000000005
131.8839	625.9	0.8856	6.65
226.8258	521.5812	0.7857	6.7
-3.0645	564.125	1.0033	6.75
160.7935	442.8125	0.8156	6.8
-67.2387	610.575	1.0699	6.8500000000000005
311.1742	553.2313	0.7366	6.9
155.5355	424.3313	0.8141	6.95
191.2194	414.5625	0.7751	7.0
292.7484	595.5625	0.7633	7.05
393.2129	559.0312	0.6878	7.1000000000000005
119.0645	395.9312	0.8432	7.15
295.8452	481.1438	0.7178	7.2
485.8194	593.8375	0.6516	7.25
38.8194	484.1125	0.9537	7.3
130.8516	439.6812	0.8446	7.3500000000000005
119.1548	413.15	0.8488	7.4
23.6903	603.5187	0.9769	7.45
139.8968	498.3875	0.8523	7.5
396.1226	439.9563	0.6275	7.55
155.1161	494.3062	0.8373	7.6000000000000005
319.529	496.4688	0.7079	7.65
255.2968	681.8563	0.8108	7.7
210.2194	722.9562	0.8477	7.75
251.5161	480.9	0.7512	7.8
22.4903	456.6938	0.9712	7.8500000000000005
273.6452	507.6625	0.7452	7.9
262.5613	385.4312	0.6951	7.95
2.7742	532.4875	0.9969	8.0
360.0903	359.275	0.5994	8.05
-30.4645	539.925	1.0348	8.100000000000001
127.0968	518.875	0.8691	8.15
33.5161	561.1812	0.9652	8.200000000000001
238.0258	458.3687	0.7526	8.250000000000002
116.2	434.8062	0.8586	8.3
-111.9226	637.575	1.1155	8.350000000000001
135.3871	667.4813	0.8895	8.4
268.4839	442.5188	0.7207	8.450000000000001
234.2065	554.6125	0.7908	8.500000000000002
91.4516	455.775	0.8906	8.55
16.1484	584.5063	0.9836	8.600000000000001
420.7871	411.7563	0.5942	8.65
139.1871	523.75	0.8593	8.700000000000001
292.5935	273.6062	0.5819	8.750000000000002
349.0903	394.7937	0.6321	8.8
70.8839	373.1875	0.8959	8.850000000000001
315.7871	348.075	0.6255	8.9
303.5935	295.4625	0.5927	8.950000000000001
188.1032	535.6562	0.8208	9.000000000000002
208.7677	570.0875	0.8143	9.05
289.9677	706.2687	0.7956	9.100000000000001
355.8581	663.7313	0.7463	9.15
259.2452	486.1938	0.7474	9.200000000000001
51.5742	529.625	0.9443	9.250000000000002
96.6323	335.4125	0.8489	9.3
288.3355	660.9188	0.7851	9.350000000000001
343.1548	511.2688	0.6985	9.4
26.6	466.5125	0.9667	9.450000000000001
176.7677	699.175	0.8653	9.500000000000002
393.8452	717.4937	0.7416	9.55
208.7742	513.25	0.7972	9.600000000000001
240.129	410.1375	0.7283	9.650000000000002
305.9032	405.3188	0.6712	9.700000000000001
250.7742	482.2625	0.7524	9.750000000000002
12.5677	633.0	0.9882	9.8
295.3935	519.0688	0.7342	9.850000000000001
209.2129	390.0375	0.7462	9.900000000000002
119.8323	638.4188	0.897	9.950000000000001
175.7935	559.475	0.8371	10.000000000000002
124.5742	556.6313	0.8792	10.05
-1.6774	575.8563	1.0018	10.100000000000001
130.2968	608.9438	0.884	10.150000000000002
142.0	652.0438	0.8822	10.200000000000001
-34.9419	401.1187	1.0546	10.250000000000002
197.3355	426.3062	0.7745	10.3
194.1355	479.0938	0.7978	10.350000000000001
99.3097	530.1	0.8972	10.400000000000002
265.0581	183.4375	0.4967	10.450000000000001
306.5935	131.7688	0.3547	10.500000000000002
196.4258	283.1	0.6909	10.55
-20.3548	206.3938	1.0622	10.600000000000001
90.4516	296.6187	0.8412	10.650000000000002
63.0839	141.8125	0.7817	10.700000000000001
163.1806	449.0188	0.8155	10.750000000000002
2.729	260.0375	0.9937	10.8
450.5419	352.1562	0.5318	10.850000000000001
-7.1548	281.275	1.0155	10.900000000000002
258.471	322.9	0.657	10.950000000000001
95.8387	176.7312	0.744	11.000000000000002
340.5355	187.2937	0.4286	11.05
293.3935	286.3438	0.5935	11.100000000000001
-152.0839	255.5312	1.5084	11.150000000000002
83.6452	158.1687	0.7491	11.200000000000001
-16.3935	248.0063	1.041	11.250000000000002
192.2194	434.1375	0.7825	11.3
105.5032	302.6875	0.8219	11.350000000000001
449.6258	491.8375	0.6236	11.400000000000002
94.0645	377.1812	0.867	11.450000000000001
184.7742	276.75	0.6997	11.500000000000002
192.0903	367.7	0.7515	11.55
-101.8	200.7937	1.4075	11.600000000000001
-19.2065	326.9688	1.0363	11.650000000000002
249.4968	419.0	0.7247	11.700000000000001
261.5161	230.1	0.5652	11.750000000000002
177.6581	236.4125	0.6723	11.8
479.7677	208.3938	0.3579	11.850000000000001
122.7613	270.6	0.7781	11.900000000000002
163.8065	332.5625	0.7629	11.950000000000001
149.4452	321.1313	0.7735	12.000000000000002
133.3548	208.4187	0.7091	12.05
49.2194	119.325	0.7948	12.100000000000001
164.8774	345.5875	0.7689	12.150000000000002
47.6	221.7125	0.8837	12.200000000000001
177.9097	286.0	0.7153	12.250000000000002
97.7742	280.9375	0.8221	12.3
115.0	247.2563	0.7736	12.350000000000001
188.1742	136.975	0.5114	12.400000000000002
327.8645	171.175	0.413	12.450000000000001
193.7032	426.2	0.7778	12.500000000000002
-81.4968	158.075	1.4168	12.55
-137.0387	253.8313	1.4437	12.600000000000001
181.5226	66.975	0.3095	12.650000000000002
238.6581	180.2437	0.522	12.700000000000001
310.7355	231.0	0.5175	12.750000000000002
247.2387	189.9625	0.5269	12.8
31.1613	376.8375	0.9524	12.850000000000001
120.3806	138.7125	0.6369	12.900000000000002
476.071	220.6562	0.3773	12.950000000000001
95.7419	339.1125	0.8516	13.000000000000002
177.9226	272.2	0.7044	13.05
-32.0065	265.5312	1.077	13.100000000000001
-95.4645	157.5188	1.5217	13.150000000000002
488.0065	33.0188	-0.057	13.200000000000001
293.7935	47.2812	0.0922	13.250000000000002
785.6065	106.4438	0.0559	13.3
543.8387	48.9688	-0.0169	13.350000000000001
225.5032	-61.425	-1.6361	13.400000000000002
543.4129	108.7125	0.1429	13.450000000000001
362.4387	369.025	0.6048	13.500000000000002
212.9097	140.05	0.4818	13.55
534.5935	236.7875	0.3637	13.600000000000001
115.4194	158.7	0.68	13.650000000000002
165.1484	299.6938	0.7408	13.700000000000001
-139.8903	247.0125	1.474	13.750000000000002
-4.1613	182.7125	1.0138	13.8
286.7742	241.6562	0.5531	13.850000000000001
135.7419	427.725	0.8357	13.900000000000002
228.9161	283.6875	0.655	13.950000000000001
323.5871	327.9563	0.6036	14.000000000000002
233.2452	308.075	0.6705	14.05
51.8839	177.375	0.8469	14.100000000000001
280.5871	97.9875	0.2935	14.150000000000002
155.6065	202.2375	0.6666	14.200000000000001
49.0323	107.5562	0.7772	14.250000000000002
131.071	-11.4187	-0.4532	14.3
124.4323	50.4625	0.3374	14.350000000000001
266.4387	-8.3687	-0.2804	14.400000000000002
557.0323	65.3625	0.0281	14.450000000000001
562.0194	-19.9937	-0.2919	14.500000000000002
256.7613	-79.7375	-2.1671	14.55
235.0774	-57.0813	-1.333	14.600000000000001
356.5226	26.4812	-0.0448	14.650000000000002
152.1355	431.7688	0.8203	14.700000000000001
-102.4	390.1187	1.1813	14.750000000000002
118.0452	347.325	0.8257	14.8
253.3806	351.5625	0.6821	14.850000000000001
133.3097	368.6812	0.8163	14.900000000000002
31.7935	285.9563	0.9368	14.950000000000001
130.0258	255.4688	0.7566	15.000000000000002
289.0387	188.975	0.48	15.05
167.9613	147.8687	0.5653	15.100000000000001
42.8581	414.3062	0.941	15.150000000000002
-111.2645	379.8562	1.2059	15.200000000000001
271.1742	283.4438	0.6117	15.250000000000002
243.4581	278.3438	0.6349	15.3
266.4516	252.7688	0.5858	15.350000000000001
47.2903	276.0312	0.9053	15.400000000000002
172.3742	303.2625	0.7344	15.450000000000001
171.4516	373.9875	0.7762	15.500000000000002
-235.7032	256.6812	2.0187	15.55
284.729	221.65	0.5307	15.600000000000001
59.7097	197.6375	0.8425	15.650000000000002
284.7032	214.8625	0.5218	15.700000000000001
295.5419	198.5125	0.4879	15.750000000000002
198.1871	156.7188	0.5352	15.8
154.8903	277.4312	0.7381	15.850000000000001
470.2194	326.3687	0.4975	15.900000000000002
561.5677	93.3813	0.0995	15.950000000000001
-59.5032	-17.5063	0.2445	16.0
210.1484	68.5625	0.2738	16.05
10.7613	129.3562	0.9521	16.1
-10.0903	112.7563	1.0562	16.150000000000002
-15.3419	40.0188	1.2846	16.200000000000003
146.6516	-33.6	-1.215	16.25
-207.7032	27.175	-0.6253	16.3
244.9935	119.7937	0.3933	16.35
81.1935	-51.0875	5.6437	16.400000000000002
225.8323	71.6375	0.2658	16.450000000000003
235.9355	-18.8938	-0.4288	16.5
331.5032	-4.4062	-0.2328	16.55
99.4774	-2.9563	-0.2758	16.6
163.7355	-19.9187	-0.5858	16.650000000000002
72.6774	48.8875	0.4883	16.700000000000003
266.4903	76.6187	0.2381	16.75
373.7484	4.2875	-0.1731	16.8
19.6581	-47.2563	1.3151	16.85
103.4645	49.4125	0.3862	16.900000000000002
250.7161	0.7	-0.1933	16.950000000000003
87.9806	-29.4625	-2.6336	17.0
293.2516	7.3813	-0.1425	17.05
113.7548	51.1375	0.3681	17.1
-311.0581	-38.15	0.0364	17.150000000000002
337.329	-45.4062	-0.6421	17.200000000000003
72.1935	-53.7063	3.4598	17.25
141.7419	-38.4375	-1.6221	17.3
233.5226	-112.4312	-31.3585	17.35
374.2903	-39.9937	-0.5261	17.400000000000002
66.7419	8.25	0.0379	17.450000000000003
343.5613	8.7188	-0.142	17.5
24.3226	47.1625	0.754	17.55
81.3548	86.0188	0.6147	17.6
-75.7355	54.0125	3.8146	17.650000000000002
53.2194	52.0125	0.5939	17.700000000000003
-97.9161	14.4	-0.7	17.75
27.3484	7.1625	0.2125	17.8
406.6258	93.5312	0.1781	17.85
318.3935	31.7437	-0.0005	17.900000000000002
-26.3097	70.9312	1.2732	17.950000000000003
-76.8258	73.7312	2.3051	18.0
208.529	50.75	0.1929	18.05
366.8258	63.2063	0.1075	18.1
55.0258	20.4	0.3109	18.150000000000002
169.129	23.6625	0.0624	18.200000000000003
-72.9161	-38.4812	0.4162	18.25
402.2903	20.9312	-0.0869	18.3
72.0194	-33.6062	-16.9792	18.35
223.9484	-16.525	-0.4078	18.400000000000002
5.9806	-12.675	1.3705	18.450000000000003
197.0903	19.3562	-0.003	18.5
347.1935	46.6	0.054	18.55
346.0	-47.6187	-0.6557	18.6
661.6839	69.4438	0.0082	18.650000000000002
183.3032	-29.5875	-0.7721	18.700000000000003
435.6774	-25.2812	-0.3576	18.75
36.1613	46.6187	0.6647	18.8
425.1355	16.7188	-0.1125	18.85
419.7032	80.8188	0.1337	18.900000000000002
162.8903	-92.675	9.7031	18.950000000000003
79.3032	28.3375	0.3002	19.0
311.3419	25.7812	-0.0295	19.05
-190.3484	116.8625	6.2659	19.1
148.1419	-54.7312	-3.596	19.150000000000002
323.9419	-43.0688	-0.6347	19.200000000000003
556.8452	-59.4438	-0.5258	19.250000000000004
540.2839	49.2	-0.0151	19.3
62.4387	23.2688	0.3125	19.35
277.7548	101.2875	0.3061	19.400000000000002
499.4839	19.35	-0.1137	19.450000000000003
487.2129	48.2375	-0.0017	19.500000000000004
459.6968	-26.0063	-0.3531	19.55
84.9806	74.75	0.5651	19.6
363.3032	42.1	0.0258	19.650000000000002
182.1871	33.2937	0.1212	19.700000000000003
314.3935	7.4312	-0.1458	19.750000000000004
519.4258	39.95	-0.04	19.8
230.5355	-30.9812	-0.6411	19.85
364.7355	112.9187	0.2589	19.900000000000002
396.529	93.2063	0.1837	19.950000000000003
180.7613	-21.25	-0.5689	20.000000000000004
393.4903	96.8	0.1957	20.05
286.7097	56.2625	0.1382	20.1
206.4968	108.3625	0.4145	20.150000000000002
256.9613	24.9937	-0.0046	20.200000000000003
335.2	-44.7688	-0.6374	20.250000000000004
609.8	67.9375	0.0187	20.3
332.8581	21.5312	-0.0625	20.35
374.9226	1.2437	-0.1921	20.400000000000002
557.0581	-45.1875	-0.4324	20.450000000000003
443.3677	91.5	0.1506	20.500000000000004
291.2452	75.425	0.2095	20.55
-22.8129	24.8313	2.0196	20.6
218.8387	-19.0562	-0.4531	20.650000000000002
193.9419	24.725	0.0438	20.700000000000003
87.9548	0.15	-0.1959	20.750000000000004
490.2452	66.0562	0.0547	20.8
-102.6065	78.7437	3.2435	20.85
470.0194	-24.4125	-0.3391	20.900000000000002
524.2452	-59.9438	-0.5558	20.950000000000003
433.6903	78.5188	0.119	21.000000000000004
22.6516	3.0938	0.0575	21.05
363.7097	64.025	0.1125	21.1
299.6065	-13.1313	-0.3153	21.150000000000002
313.8516	91.7437	0.2427	21.200000000000003
82.4774	41.4875	0.4018	21.250000000000004
361.9097	27.7563	-0.0404	21.3
379.6387	46.9	0.0377	21.35
615.1806	38.2375	-0.0673	21.400000000000002
142.3613	61.3313	0.3554	21.450000000000003
17.0194	29.3375	0.7302	21.500000000000004
570.0774	-9.4438	-0.2411	21.55
294.3806	-23.7937	-0.4314	21.6
631.1226	-7.3813	-0.2287	21.650000000000002
231.6194	-53.1313	-1.2172	21.700000000000003
376.1226	58.0437	0.083	21.750000000000004
101.8452	-17.4937	-0.828	21.8
424.3032	26.0625	-0.0687	21.85
105.1806	52.4937	0.3994	21.900000000000002
15.6516	-43.0	1.267	21.950000000000003
173.7484	132.7875	0.5254	22.000000000000004
407.871	5.7563	-0.1671	22.05
294.1871	77.9438	0.2156	22.1
529.071	126.6687	0.1886	22.150000000000002
721.2129	66.975	-0.012	22.200000000000003
461.5677	41.6562	-0.0165	22.250000000000004
133.4581	-35.9312	-1.6	22.3
124.1806	-19.1812	-0.7364	22.35
560.7935	-24.3938	-0.3143	22.400000000000002
212.471	45.7	0.1609	22.450000000000003
208.7742	-41.5437	-0.9933	22.500000000000004
482.4258	-38.0125	-0.4245	22.55
178.1097	-4.1938	-0.2593	22.6
205.3806	16.175	-0.0367	22.650000000000002
744.2581	6.375	-0.1798	22.700000000000003
572.3613	107.6812	0.1281	22.750000000000004
384.1097	51.1812	0.0525	22.8
247.2	19.2812	-0.0381	22.85
275.929	98.7	0.3005	22.900000000000002
166.8258	13.7188	-0.0305	22.950000000000003
250.4	63.7	0.2047	23.000000000000004
308.3032	-23.5188	-0.416	23.05
700.7871	61.3	-0.0213	23.1
472.3935	-8.8813	-0.2469	23.150000000000002
333.1548	-25.3625	-0.4155	23.200000000000003
225.8129	3.1187	-0.1677	23.250000000000004
266.1032	64.8875	0.1934	23.3
739.4194	41.1938	-0.0797	23.35
452.5419	-43.4812	-0.4855	23.400000000000002
247.671	-12.225	-0.3314	23.450000000000003
455.2581	44.6687	-0.0031	23.500000000000004
402.9613	111.1062	0.2265	23.55
431.3032	74.7937	0.109	23.6
78.7097	11.9062	0.0787	23.650000000000002
510.1935	66.5063	0.0482	23.700000000000003
144.0645	226.2625	0.7102	23.750000000000004
56.9355	103.9563	0.742	23.8
-7.3032	16.8813	1.3312	23.85
399.1419	149.7375	0.3144	23.900000000000002
429.8774	84.1187	0.1375	23.950000000000003
172.1161	88.1313	0.4071	24.000000000000004
242.7806	19.6875	-0.0325	24.05
577.4774	13.4812	-0.1465	24.1
103.2323	-20.3438	-0.9806	24.150000000000002
230.4774	-40.0625	-0.8395	24.200000000000003
229.271	27.7875	0.0341	24.250000000000004
491.8452	56.0813	0.0228	24.3
-16.9097	-64.1062	0.8602	24.35
205.1742	87.4688	0.3523	24.400000000000002
297.2968	71.4937	0.1897	24.450000000000003
284.4194	63.6625	0.1711	24.500000000000004
304.6839	-23.95	-0.4238	24.55
547.7226	7.6375	-0.1674	24.6
215.5871	-46.85	-1.1225	24.650000000000002
221.3742	-1.75	-0.2193	24.700000000000003
608.8581	-86.6062	-0.6771	24.750000000000004
105.2645	19.625	0.1259	24.8
395.4452	-120.5437	-2.0743	24.85
404.3935	40.6313	0.0008	24.900000000000002
350.4645	52.7563	0.0777	24.950000000000003
65.7935	-13.6625	-1.0524	25.000000000000004
909.0581	3.7688	-0.1901	25.05
443.9613	88.1125	0.141	25.1
520.6323	11.1938	-0.1505	25.150000000000002
528.5097	122.3188	0.1797	25.200000000000003
233.2581	29.1875	0.0402	25.250000000000004
168.1097	-25.225	-0.7145	25.3
475.3097	73.525	0.0835	25.35
707.7871	39.8125	-0.0787	25.400000000000002
512.9355	151.8687	0.2463	25.450000000000003
693.3226	162.5813	0.1831	25.500000000000004
318.3871	91.375	0.2376	25.55
522.4	-6.65	-0.2313	25.6
247.929	-8.3938	-0.2872	25.650000000000002
531.2323	65.3875	0.0371	25.700000000000003
509.4839	68.2188	0.0535	25.750000000000004
-0.9419	26.025	1.0221	25.8
249.8387	-10.4375	-0.3094	25.85
541.2387	117.4688	0.1632	25.900000000000002
225.5806	54.775	0.1923	25.950000000000003
102.671	1.2188	-0.1722	26.000000000000004
148.3871	120.925	0.5437	26.05
427.4516	31.0125	-0.0479	26.1
205.6581	51.975	0.2029	26.150000000000002
305.8	-41.975	-0.6541	26.200000000000003
112.0323	105.825	0.5847	26.250000000000004
374.6387	7.0	-0.1568	26.3
507.0645	38.125	-0.0431	26.35
213.1935	30.5562	0.0673	26.400000000000002
529.4903	-74.1	-0.6664	26.450000000000003
307.3032	5.8625	-0.1559	26.500000000000004
282.3097	-6.4563	-0.2575	26.55
391.4387	24.575	-0.0661	26.6
301.0452	-73.875	-1.3566	26.650000000000002
330.9484	52.1625	0.0876	26.700000000000003
526.4323	13.8938	-0.1398	26.750000000000004
508.0258	19.525	-0.1143	26.8
363.5935	-29.5938	-0.4333	26.85
237.5226	-8.7063	-0.2949	26.900000000000002
-35.3226	27.6	3.1324	26.950000000000003
588.8774	44.8875	-0.0413	27.000000000000004
318.2129	25.5938	-0.0337	27.05
117.2774	106.6875	0.5744	27.1
365.5226	-19.2688	-0.3414	27.150000000000002
240.9097	-91.35	-3.9664	27.200000000000003
118.3613	-72.3125	6.408	27.250000000000004
116.4516	5.4438	-0.0974	27.3
272.1871	65.225	0.1888	27.35
369.1871	-122.0	-2.5389	27.400000000000002
243.2194	44.4312	0.1211	27.450000000000003
429.2774	167.2625	0.3256	27.500000000000004
376.6968	103.4125	0.2253	27.55
239.5161	-61.1062	-1.4502	27.6
66.9677	49.8125	0.5176	27.650000000000002
-131.1548	-104.6	0.5376	27.700000000000003
311.3161	12.125	-0.1133	27.750000000000004
298.871	55.2125	0.1238	27.8
219.6968	113.1125	0.4088	27.85
344.1419	102.6625	0.2484	27.900000000000002
-26.0516	12.8062	-70.1934	27.950000000000003
254.8774	84.7063	0.2791	28.000000000000004
266.8	4.8188	-0.1582	28.05
33.7806	-5.8313	-0.8327	28.1
126.8839	-93.1438	3.5632	28.150000000000002
195.9742	28.6187	0.0713	28.200000000000003
123.0516	-66.2125	16.7533	28.250000000000004
105.6387	98.95	0.5824	28.3
79.4129	20.0188	0.2022	28.35
75.8323	10.9438	0.0688	28.400000000000002
-157.9806	96.0875	6.5441	28.450000000000003
82.1742	134.1875	0.7187	28.500000000000004
