DemDexc	AemDexc	E	T
1039.5	211.8452	0.1475	0.05
604.72	195.2968	0.2709	0.1
219.32	472.7871	0.7741	0.15000000000000002
116.34	362.1032	0.8339	0.2
158.06	225.9226	0.689	0.25
217.86	151.4581	0.498	0.3
402.76	388.2129	0.5901	0.35000000000000003
-10.62	316.9548	1.0204	0.4
505.32	418.929	0.5485	0.45
128.84	230.7032	0.7381	0.5
-42.1	235.1226	1.118	0.55
41.82	301.6258	0.9222	0.6000000000000001
38.96	259.4194	0.9162	0.6500000000000001
-156.4	334.0645	1.3668	0.7000000000000001
256.02	323.3032	0.6596	0.7500000000000001
182.34	271.0839	0.698	0.8
-47.06	370.7871	1.0813	0.8500000000000001
195.74	368.6581	0.7483	0.9000000000000001
111.12	371.5806	0.8439	0.9500000000000001
289.96	292.0452	0.6019	1.0
444.64	343.7419	0.5287	1.05
114.32	200.7548	0.7341	1.1
414.66	220.4452	0.4184	1.1500000000000001
242.2	468.4065	0.7535	1.2000000000000002
70.44	227.8774	0.8394	1.2500000000000002
44.98	275.3226	0.9094	1.3
185.96	228.3742	0.6528	1.35
297.14	160.9226	0.4239	1.4000000000000001
238.9	87.6387	0.3078	1.4500000000000002
151.36	-101.8	4.4769	1.5000000000000002
-50.92	72.7097	1.6466	1.55
63.84	17.1226	0.219	1.6
29.42	210.6774	0.9217	1.6500000000000001
332.08	95.8	0.239	1.7000000000000002
78.38	573.1871	0.9232	1.7500000000000002
175.76	271.0387	0.7062	1.8
-75.82	564.4129	1.0864	1.85
38.22	718.4065	0.9689	1.9000000000000001
70.74	215.8903	0.8311	1.9500000000000002
392.16	323.7742	0.5474	2.0
394.62	435.0968	0.6256	2.05
264.22	388.2258	0.6953	2.1
383.92	583.4968	0.7029	2.15
58.36	324.9871	0.9011	2.1999999999999997
101.58	364.0452	0.8531	2.25
177.42	597.0645	0.8448	2.3
340.1	365.4323	0.6189	2.35
175.56	549.1548	0.8346	2.4
475.14	436.4903	0.5771	2.45
70.46	516.5677	0.9234	2.5
414.94	364.8516	0.565	2.55
233.28	491.2581	0.7698	2.6
402.66	206.2065	0.4072	2.65
51.48	425.9677	0.9316	2.7
368.6	466.2258	0.66	2.75
248.42	330.5935	0.6723	2.8
197.98	409.8065	0.7665	2.85
373.58	377.6	0.6028	2.9
176.3	358.6323	0.7632	2.95
310.36	360.3935	0.6388	3.0
86.04	279.3806	0.8399	3.05
457.64	265.6968	0.4447	3.1
258.44	354.7226	0.6796	3.15
47.58	235.8516	0.89	3.2
218.64	328.1742	0.7001	3.25
196.0	411.8774	0.7694	3.3
-16.22	267.8968	1.0375	3.35
134.02	626.0839	0.884	3.4
-111.5	503.3032	1.1495	3.45
188.68	554.8452	0.8256	3.5
-16.1	337.9226	1.0293	3.55
156.22	402.6129	0.805	3.6
-109.3	402.8645	1.1883	3.65
359.64	319.1871	0.5676	3.7
221.28	244.1613	0.6258	3.75
-21.94	154.4645	1.0917	3.8
154.68	234.7742	0.7026	3.85
290.78	383.9677	0.6704	3.9
339.36	359.6	0.6153	3.95
141.54	373.1161	0.8087	4.0
352.82	313.6	0.568	4.05
125.02	437.4387	0.85	4.1
535.8	497.4968	0.58	4.15
422.84	429.1613	0.6039	4.2
193.32	483.929	0.8002	4.25
