DemDexc	AemDexc	E	T
1249.1	707.0129	0.4372	0.05
921.5	809.2968	0.5647	0.1
515.0	633.6323	0.6533	0.15000000000000002
473.6	598.2065	0.6597	0.2
186.05	717.2516	0.8622	0.25
43.2	510.0516	0.9512	0.3
363.1	797.1613	0.7774	0.35000000000000003
394.4	370.9097	0.5835	0.4
218.6	513.1484	0.7893	0.45
298.15	386.0774	0.6657	0.5
447.1	398.3161	0.5686	0.55
371.9	308.0903	0.5483	0.6000000000000001
176.6	548.5871	0.8336	0.6500000000000001
427.45	512.5935	0.6469	0.7000000000000001
497.35	572.1419	0.6364	0.7500000000000001
243.7	615.7613	0.8018	0.8
493.3	458.5871	0.5803	0.8500000000000001
149.2	456.8903	0.8316	0.9000000000000001
115.3	463.2903	0.8672	0.9500000000000001
267.5	315.4258	0.6427	1.0
539.0	566.0968	0.613	1.05
350.5	681.1161	0.7544	1.1
488.55	608.0581	0.6561	1.1500000000000001
399.7	559.8258	0.6843	1.2000000000000002
156.75	693.9161	0.8782	1.2500000000000002
442.1	668.5355	0.7018	1.3
54.4	648.1161	0.9517	1.35
561.85	617.9548	0.625	1.4000000000000001
399.45	619.6387	0.7075	1.4500000000000002
440.0	618.3355	0.6851	1.5000000000000002
459.3	741.3871	0.7162	1.55
411.05	353.9613	0.5592	1.6
383.65	414.1161	0.6201	1.6500000000000001
573.35	565.0	0.5961	1.7000000000000002
387.05	637.7935	0.7206	1.7500000000000002
617.65	570.6839	0.5786	1.8
395.75	628.3677	0.7126	1.85
384.3	683.9613	0.7368	1.9000000000000001
628.9	545.8258	0.5614	1.9500000000000002
-0.45	920.0258	1.0003	2.0
146.85	648.4645	0.8779	2.05
615.45	745.7484	0.6495	2.1
170.3	638.6323	0.8588	2.15
257.0	638.5613	0.799	2.1999999999999997
419.85	607.1806	0.6917	2.25
37.6	416.1613	0.9481	2.3
169.1	678.3871	0.867	2.35
230.65	738.8839	0.838	2.4
94.2	541.4968	0.904	2.45
275.65	669.7484	0.7952	2.5
398.65	764.9613	0.752	2.55
392.9	595.9935	0.7025	2.6
263.45	581.0839	0.7782	2.65
301.85	495.5548	0.7199	2.7
414.95	546.2452	0.6697	2.75
