DemDexc	AemDexc	E	T
1499.05	599.04	0.333	0.05
1130.3	396.9	0.2951	0.1
381.3	312.1	0.5449	0.15000000000000002
147.85	296.2	0.7603	0.2
413.05	395.72	0.5885	0.25
103.7	457.04	0.8777	0.3
323.2	213.36	0.4828	0.35000000000000003
259.75	120.54	0.3776	0.4
435.35	368.76	0.5546	0.45
762.5	427.74	0.4345	0.5
527.1	327.78	0.4652	0.55
596.8	315.46	0.4167	0.6000000000000001
763.75	248.02	0.2725	0.6500000000000001
377.9	305.92	0.5418	0.7000000000000001
383.35	214.1	0.4332	0.7500000000000001
369.65	266.04	0.5081	0.8
524.85	347.84	0.484	0.8500000000000001
372.05	218.9	0.4487	0.9000000000000001
136.2	270.7	0.7588	0.9500000000000001
347.6	262.54	0.522	1.0
284.1	193.42	0.4919	1.05
378.8	252.08	0.4852	1.1
258.35	295.46	0.635	1.1500000000000001
706.15	335.32	0.3845	1.2000000000000002
579.95	218.74	0.316	1.2500000000000002
422.5	305.88	0.5098	1.3
384.35	253.0	0.482	1.35
489.05	414.66	0.5549	1.4000000000000001
355.6	377.52	0.6158	1.4500000000000002
606.15	438.7	0.5097	1.5000000000000002
393.55	298.02	0.5228	1.55
508.9	294.82	0.4441	1.6
468.2	383.58	0.5452	1.6500000000000001
191.8	42.26	0.1671	1.7000000000000002
317.45	249.64	0.5336	1.7500000000000002
728.1	289.76	0.3318	1.8
167.7	234.6	0.684	1.85
552.9	209.94	0.318	1.9000000000000001
436.3	214.52	0.395	1.9500000000000002
337.2	273.94	0.5428	2.0
843.8	384.86	0.3725	2.05
618.7	271.4	0.3608	2.1
321.95	361.3	0.6301	2.15
268.15	406.58	0.7024	2.1999999999999997
443.15	327.28	0.5156	2.25
409.15	280.14	0.4935	2.3
414.95	385.0	0.5798	2.35
715.55	188.18	0.2136	2.4
791.1	207.68	0.2131	2.45
779.75	98.84	0.0427	2.5
301.1	275.34	0.5758	2.55
389.3	295.94	0.5239	2.6
360.25	322.56	0.57	2.65
655.4	282.08	0.3551	2.7
585.4	330.16	0.4361	2.75
323.9	323.38	0.5996	2.8
580.9	213.42	0.3083	2.85
510.5	277.24	0.4248	2.9
760.75	424.98	0.4332	2.95
386.3	535.08	0.6817	3.0
346.45	274.58	0.5358	3.05
755.9	236.88	0.2623	3.1
433.15	382.1	0.5659	3.15
499.55	211.7	0.3505	3.2
517.1	287.14	0.4314	3.25
300.3	248.54	0.5481	3.3
399.45	419.78	0.6131	3.35
309.2	406.02	0.6691	3.4
247.95	382.64	0.7063	3.45
648.85	309.3	0.3857	3.5
448.85	166.22	0.3106	3.55
578.2	276.08	0.3862	3.6
369.1	61.36	0.0994	3.65
534.95	231.72	0.357	3.7
322.3	436.1	0.6762	3.75
283.85	286.16	0.6022	3.8
332.15	232.0	0.4994	3.85
740.6	184.18	0.1986	3.9
891.05	264.98	0.2475	3.95
416.45	397.54	0.5875	4.0
870.2	431.66	0.3976	4.05
605.6	198.16	0.2747	4.1
394.3	90.88	0.1786	4.15
687.4	406.38	0.4501	4.2
647.9	265.02	0.34	4.25
560.0	220.32	0.3284	4.3
365.15	266.42	0.512	4.35
626.15	182.12	0.2413	4.4
504.2	109.76	0.164	4.45
488.3	150.94	0.2584	4.5
373.65	205.78	0.429	4.55
475.5	241.72	0.405	4.6
484.0	283.74	0.4476	4.65
238.65	303.34	0.6612	4.7
693.9	272.86	0.3283	4.75
462.9	235.22	0.4048	4.8
324.15	348.6	0.6192	4.8500000000000005
724.6	243.52	0.2824	4.9
823.25	579.64	0.5017	4.95
457.05	297.96	0.4791	5.0
433.6	442.02	0.6051	5.05
457.45	230.74	0.4026	5.1000000000000005
355.35	297.62	0.5514	5.15
523.15	329.2	0.4687	5.2
386.15	367.52	0.5867	5.25
539.45	342.26	0.4711	5.3
238.1	167.24	0.501	5.3500000000000005
494.95	157.0	0.2658	5.4
312.85	413.74	0.6708	5.45
602.95	329.12	0.4263	5.5
682.1	303.02	0.3646	5.55
539.05	208.2	0.323	5.6000000000000005
339.25	208.32	0.4614	5.65
617.5	203.48	0.2767	5.7
558.75	265.38	0.3846	5.75
396.2	394.74	0.599	5.8
607.9	205.9	0.2846	5.8500000000000005
429.5	267.26	0.4654	5.9
255.1	235.34	0.5782	5.95
94.05	312.86	0.8432	6.0
348.25	159.34	0.3734	6.05
387.95	269.0	0.4972	6.1000000000000005
446.4	254.06	0.4388	6.15
668.5	270.92	0.3372	6.2
379.3	337.98	0.5687	6.25
588.75	357.0	0.4577	6.3
382.95	231.46	0.4567	6.3500000000000005
681.85	272.14	0.3327	6.4
445.35	300.36	0.4891	6.45
317.4	81.54	0.2073	6.5
274.35	307.22	0.6296	6.55
393.25	474.1	0.6482	6.6000000000000005
507.55	260.92	0.4083	6.65
545.8	249.26	0.3728	6.7
561.0	202.56	0.3032	6.75
558.7	194.7	0.2929	6.8
362.05	270.24	0.5186	6.8500000000000005
398.8	162.66	0.3391	6.9
568.45	284.26	0.4	6.95
315.0	260.14	0.5475	7.0
646.15	248.52	0.3217	7.05
42.7	419.58	0.9419	7.1000000000000005
539.35	342.88	0.4717	7.15
378.3	323.26	0.557	7.2
407.3	377.94	0.5798	7.25
467.95	375.76	0.5395	7.3
263.85	220.32	0.5506	7.3500000000000005
455.25	557.74	0.6522	7.4
663.15	214.56	0.2714	7.45
-201.55	254.44	1.787	7.5
43.8	298.62	0.918	7.55
61.9	185.26	0.8282	7.6000000000000005
-156.85	248.6	1.553	7.65
128.3	335.86	0.8076	7.7
-140.85	251.7	1.4662	7.75
236.75	201.58	0.556	7.8
-45.75	155.9	1.2064	7.8500000000000005
86.6	177.3	0.7645	7.9
-44.55	305.2	1.0945	7.95
99.35	138.44	0.6831	8.0
3.9	224.36	0.9897	8.05
-109.1	56.14	42.1698	8.100000000000001
-22.55	183.06	1.0788	8.15
112.55	273.3	0.7951	8.200000000000001
-115.95	254.26	1.3544	8.250000000000002
-160.4	127.28	3.0442	8.3
243.15	323.3	0.6721	8.350000000000001
144.15	262.42	0.7414	8.4
174.9	356.14	0.7634	8.450000000000001
-200.25	194.04	2.2793	8.500000000000002
-56.7	370.16	1.0995	8.55
-29.2	227.54	1.0823	8.600000000000001
-49.75	379.66	1.0841	8.65
-155.25	152.7	2.2408	8.700000000000001
-43.2	287.12	1.0976	8.750000000000002
