DemDexc	AemDexc	E	T
717.15	663.9	0.5792	0.05
315.45	564.84	0.7381	0.1
-302.6	442.08	1.6244	0.15000000000000002
-174.1	366.08	1.3744	0.2
186.95	391.0	0.7685	0.25
-243.65	281.5	1.9155	0.3
-93.3	471.64	1.1317	0.35000000000000003
112.1	194.02	0.731	0.4
180.7	314.44	0.7322	0.45
133.95	360.06	0.8118	0.5
139.45	370.96	0.8101	0.55
12.45	299.28	0.9755	0.6000000000000001
82.55	318.16	0.8622	0.6500000000000001
85.2	460.08	0.8983	0.7000000000000001
-5.55	289.42	1.0116	0.7500000000000001
135.95	344.66	0.8023	0.8
139.55	319.54	0.7849	0.8500000000000001
49.55	402.3	0.9304	0.9000000000000001
380.65	337.8	0.5675	0.9500000000000001
107.15	395.92	0.857	1.0
622.9	386.4	0.4644	1.05
-54.0	432.56	1.0799	1.1
112.85	417.46	0.8571	1.1500000000000001
216.3	392.32	0.7407	1.2000000000000002
65.85	329.58	0.891	1.2500000000000002
269.35	69.4	0.2081	1.3
108.4	56.32	0.4115	1.35
312.65	89.64	0.2373	1.4000000000000001
326.6	34.46	0.0091	1.4500000000000002
-67.2	38.66	8.9684	1.5000000000000002
78.25	102.66	0.6689	1.55
471.1	-40.56	-0.4496	1.6
146.8	39.72	0.2214	1.6500000000000001
685.6	119.34	0.1099	1.7000000000000002
927.95	41.44	-0.1016	1.7500000000000002
578.55	0.8	-0.1967	1.8
511.5	-5.86	-0.2281	1.85
676.9	52.36	-0.0392	1.9000000000000001
713.15	127.38	0.1158	1.9500000000000002
737.75	104.18	0.0643	2.0
648.75	23.92	-0.1176	2.05
317.55	27.78	-0.0213	2.1
635.9	-68.96	-0.5324	2.15
629.9	130.26	0.1511	2.1999999999999997
688.35	21.42	-0.1297	2.25
611.45	53.84	-0.0203	2.3
834.7	11.06	-0.169	2.35
1100.0	79.06	-0.0492	2.4
716.8	-18.4	-0.2649	2.45
907.45	41.36	-0.0998	2.5
791.45	63.2	-0.0347	2.55
363.0	33.34	-0.0138	2.6
373.25	92.48	0.1976	2.65
