DemDexc	AemDexc	E	T
1505.98	410.0	0.223	0.05
863.62	405.14	0.3809	0.1
290.52	409.04	0.6855	0.15000000000000002
465.88	-82.74	-0.861	0.2
498.18	193.68	0.3249	0.25
247.56	517.46	0.7684	0.3
230.24	567.92	0.7978	0.35000000000000003
293.74	317.38	0.6204	0.4
7.7	374.7	0.9878	0.45
24.84	354.38	0.9594	0.5
94.86	420.34	0.8783	0.55
88.18	267.66	0.8303	0.6000000000000001
284.3	289.26	0.6046	0.6500000000000001
342.0	465.86	0.6778	0.7000000000000001
321.92	388.46	0.6484	0.7500000000000001
548.7	227.02	0.3434	0.8
129.72	77.04	0.4515	0.8500000000000001
453.32	156.78	0.2907	0.9000000000000001
131.44	200.88	0.7042	0.9500000000000001
300.78	504.06	0.7242	1.0
531.46	483.92	0.5746	1.05
486.02	470.0	0.591	1.1
272.06	204.26	0.5203	1.1500000000000001
250.02	250.3	0.6003	1.2000000000000002
399.98	336.72	0.5529	1.2500000000000002
215.62	496.28	0.7858	1.3
492.58	433.2	0.565	1.35
493.88	417.94	0.5543	1.4000000000000001
260.12	234.26	0.5716	1.4500000000000002
-115.68	380.52	1.2151	1.5000000000000002
149.94	317.44	0.7707	1.55
216.24	598.16	0.8163	1.6
432.78	428.14	0.5971	1.6500000000000001
537.82	408.28	0.5235	1.7000000000000002
348.18	188.02	0.4231	1.7500000000000002
739.02	193.46	0.2124	1.8
572.66	339.82	0.4513	1.85
213.38	327.34	0.705	1.9000000000000001
247.24	282.58	0.6348	1.9500000000000002
153.78	364.3	0.7909	2.0
359.44	130.22	0.3042	2.05
366.78	54.84	0.0762	2.1
451.26	-165.68	-3.5164	2.15
676.62	163.58	0.1911	2.1999999999999997
612.18	15.78	-0.1412	2.25
947.96	47.22	-0.0913	2.3
1194.12	203.82	0.1054	2.35
1567.9	195.04	0.0391	2.4
826.76	100.84	0.0353	2.45
1400.74	89.72	-0.0637	2.5
1453.48	136.26	-0.0105	2.55
1716.02	227.22	0.0512	2.6
1654.34	120.2	-0.0477	2.65
1184.8	25.44	-0.1506	2.7
680.92	112.96	0.099	2.75
1493.18	48.26	-0.1271	2.8
1264.26	19.94	-0.1633	2.85
1168.52	111.0	-0.0084	2.9
1264.52	-11.16	-0.2216	2.95
1587.94	114.22	-0.0491	3.0
1470.22	44.28	-0.1318	3.05
1276.78	156.7	0.0365	3.1
1175.08	24.76	-0.1515	3.15
1587.08	212.68	0.0536	3.2
1376.92	256.0	0.1253	3.25
1349.56	107.64	-0.0349	3.3
1361.4	180.66	0.0517	3.35
713.3	44.32	-0.0674	3.4
1085.22	73.52	-0.0568	3.45
1156.28	163.7	0.0648	3.5
1175.16	137.48	0.0275	3.55
1686.36	176.3	0.0075	3.6
1570.46	103.74	-0.06	3.65
1326.44	131.7	-0.0012	3.7
1238.4	33.66	-0.1381	3.75
625.6	107.28	0.1065	3.8
1004.8	134.74	0.0538	3.85
1307.46	-41.58	-0.2815	3.9
1240.62	32.94	-0.1395	3.95
1619.24	108.02	-0.0587	4.0
1394.26	154.5	0.0177	4.05
1528.84	173.84	0.0223	4.1
1635.06	104.68	-0.0638	4.15
1693.9	121.34	-0.0496	4.2
1145.3	15.54	-0.1683	4.25
1225.8	112.22	-0.0143	4.3
1131.44	152.5	0.0548	4.35
1138.96	109.52	-0.0064	4.4
1178.16	143.48	0.035	4.45
1055.56	174.12	0.0977	4.5
