DemDexc	AemDexc	E	T
1344.7419	246.3806	0.1218	0.05
801.3871	378.7742	0.3831	0.1
398.729	184.3419	0.3765	0.15000000000000002
443.8323	198.2258	0.3662	0.2
442.929	227.9355	0.4086	0.25
237.0774	223.329	0.5839	0.3
275.6645	164.9226	0.4537	0.35000000000000003
519.2065	242.0323	0.379	0.4
193.3677	273.5484	0.6866	0.45
139.5484	200.0065	0.6896	0.5
288.5806	96.9484	0.2823	0.55
308.0581	231.1677	0.5202	0.6000000000000001
439.8323	379.1548	0.5595	0.6500000000000001
485.7548	205.0516	0.3493	0.7000000000000001
458.8065	267.6194	0.4461	0.7500000000000001
124.1355	236.7613	0.7508	0.8
313.2323	318.8323	0.6047	0.8500000000000001
142.0323	140.6774	0.5974	0.9000000000000001
333.5032	330.4774	0.5976	0.9500000000000001
275.4903	185.7032	0.489	1.0
53.471	225.9548	0.873	1.05
449.7355	337.7677	0.5204	1.1
432.1548	326.1226	0.5218	1.1500000000000001
318.0323	275.9742	0.5613	1.2000000000000002
174.5806	252.1871	0.6914	1.2500000000000002
364.329	182.6903	0.4009	1.3
243.0194	341.3226	0.685	1.35
441.7613	330.5742	0.5193	1.4000000000000001
362.8645	212.4194	0.4472	1.4500000000000002
265.7677	189.6581	0.5056	1.5000000000000002
166.6387	166.5226	0.5998	1.55
-27.8903	255.3161	1.0693	1.6
289.729	184.6645	0.4725	1.6500000000000001
155.4323	333.0	0.7729	1.7000000000000002
130.8774	239.1419	0.7422	1.7500000000000002
89.0645	68.4774	0.5271	1.8
231.4323	138.5742	0.4539	1.85
-129.3484	97.5677	3.3594	1.9000000000000001
316.3677	136.4194	0.3557	1.9500000000000002
182.7806	187.4839	0.6067	2.0
257.2903	176.5806	0.4942	2.05
58.2129	192.4129	0.8423	2.1
-174.5935	203.8	1.8992	2.15
-24.3871	167.3935	1.0943	2.1999999999999997
311.7871	80.5355	0.2088	2.25
185.4	150.5097	0.5426	2.3
176.1677	81.8323	0.3779	2.35
258.9548	159.3032	0.462	2.4
487.8839	138.8968	0.2354	2.45
395.0387	272.6903	0.4959	2.5
236.2065	242.6258	0.6071	2.55
246.5548	299.2839	0.6499	2.6
161.4129	362.5484	0.7815	2.65
27.7806	164.3935	0.9065	2.7
269.3613	251.3935	0.5814	2.75
-81.5032	104.2194	1.7705	2.8
131.1226	222.4452	0.7268	2.85
114.4323	235.3677	0.7653	2.9
219.1742	361.2645	0.7207	2.95
222.9613	195.8258	0.5647	3.0
389.2581	160.8581	0.343	3.05
260.9677	60.4968	0.1801	3.1
184.1419	160.2774	0.5622	3.15
160.4581	150.8258	0.5833	3.2
347.2581	346.2	0.5992	3.25
305.3806	271.0452	0.5676	3.3
121.9613	160.5677	0.6697	3.35
107.6774	205.0645	0.7505	3.4
117.9871	264.7032	0.7813	3.45
145.7742	268.8581	0.7441	3.5
321.8516	222.0387	0.4957	3.55
74.0581	285.4387	0.8622	3.6
57.4387	206.2645	0.8533	3.65
35.8903	367.7677	0.9442	3.7
211.5548	400.8065	0.7494	3.75
37.7032	110.2452	0.8248	3.8
267.8645	350.8258	0.6685	3.85
183.5742	194.0258	0.6146	3.9
233.4194	241.9226	0.6095	3.95
57.2129	167.4452	0.8249	4.0
-106.1032	253.0	1.3184	4.05
211.471	262.2	0.6551	4.1
301.8968	210.0774	0.4983	4.15
403.4452	344.2774	0.5567	4.2
529.5935	314.3161	0.4513	4.25
372.4968	194.7871	0.4134	4.3
174.0	66.9355	0.3218	4.35
247.4323	171.1935	0.4966	4.4
152.0194	233.9613	0.7057	4.45
251.5032	202.3935	0.5401	4.5
364.1935	193.2452	0.4178	4.55
241.3032	123.8968	0.408	4.6
59.2	204.3548	0.8482	4.65
323.8774	185.3806	0.4405	4.7
318.1161	275.2968	0.5606	4.75
345.7226	198.4839	0.4414	4.8
49.3355	151.6516	0.8321	4.8500000000000005
348.2645	211.8323	0.4586	4.9
356.1226	146.7806	0.3422	4.95
505.6452	136.0258	0.2198	5.0
172.8839	205.1419	0.6443	5.05
3.3613	270.3806	0.9926	5.1000000000000005
81.8452	270.4129	0.8423	5.15
103.0581	260.2839	0.8017	5.2
236.9355	163.6129	0.496	5.25
-16.2387	162.8839	1.063	5.3
251.2129	327.529	0.6674	5.3500000000000005
27.4903	207.9226	0.9256	5.4
256.471	178.4258	0.4982	5.45
232.1548	131.6	0.4376	5.5
153.6968	133.8968	0.5624	5.55
417.4194	324.9806	0.5307	5.6000000000000005
-65.7806	130.9548	1.4025	5.65
374.4065	278.2839	0.5174	5.7
-36.5677	285.2516	1.0822	5.75
383.1097	286.3226	0.519	5.8
201.5355	324.2516	0.7155	5.8500000000000005
26.8645	134.5935	0.8911	5.9
364.2968	197.2194	0.4238	5.95
76.8	242.7548	0.8361	6.0
79.9871	251.8903	0.8356	6.05
86.0387	221.2774	0.8047	6.1000000000000005
121.6581	191.1419	0.7103	6.15
220.1613	103.8645	0.3826	6.2
263.6645	231.0839	0.5641	6.25
372.0129	160.7742	0.3563	6.3
212.1032	342.2774	0.7161	6.3500000000000005
328.9097	260.7935	0.5359	6.4
163.4839	313.3097	0.7517	6.45
-113.8903	175.6452	1.5757	6.5
62.9677	226.8903	0.8538	6.55
