DemDexc	AemDexc	E	T
1010.8258	1012.76	0.6005	0.05
438.5806	622.2	0.6873	0.1
-17.2645	399.44	1.0265	0.15000000000000002
-76.9742	596.66	1.0827	0.2
257.7161	519.16	0.7614	0.25
211.0581	482.24	0.7845	0.3
416.4452	425.64	0.6058	0.35000000000000003
324.3032	472.68	0.6935	0.4
167.8968	539.56	0.8384	0.45
226.2581	664.76	0.8255	0.5
196.0387	597.5	0.8309	0.55
206.3419	404.3	0.756	0.6000000000000001
76.6581	463.84	0.9084	0.6500000000000001
277.4	417.32	0.7007	0.7000000000000001
-63.6774	261.12	1.1666	0.7500000000000001
299.1935	427.2	0.6888	0.8
273.9871	433.36	0.7118	0.8500000000000001
290.871	642.1	0.7784	0.9000000000000001
267.9161	518.54	0.7536	0.9500000000000001
110.0323	631.16	0.9038	1.0
30.0065	563.44	0.9689	1.05
115.7935	436.1	0.8594	1.1
98.2645	487.64	0.8902	1.1500000000000001
167.329	466.84	0.8176	1.2000000000000002
177.0839	524.18	0.8266	1.2500000000000002
-24.7871	649.6	1.0233	1.3
138.9871	398.34	0.8217	1.35
76.7613	513.3	0.9165	1.4000000000000001
228.6452	595.22	0.8067	1.4500000000000002
609.9871	305.72	0.4007	1.5000000000000002
1153.6839	161.14	0.062	1.55
1302.9871	165.98	0.0436	1.6
1290.9613	84.66	-0.0609	1.6500000000000001
1508.8065	-20.98	-0.2343	1.7000000000000002
1476.5806	133.84	-0.0158	1.7500000000000002
1668.5226	134.66	-0.0332	1.8
1276.0065	157.94	0.0381	1.85
1467.2194	178.52	0.0349	1.9000000000000001
1523.9806	195.0	0.0445	1.9500000000000002
1305.9613	34.48	-0.1398	2.0
1308.3097	87.94	-0.0578	2.05
1269.2387	98.52	-0.0387	2.1
1270.3548	148.12	0.0269	2.15
1250.7226	166.14	0.0519	2.1999999999999997
1239.6323	67.44	-0.0822	2.25
1312.3032	162.02	0.0376	2.3
1070.2129	257.92	0.1903	2.35
1480.2258	88.78	-0.0715	2.4
1210.2968	202.22	0.1006	2.45
1617.8452	161.98	0.0002	2.5
1499.5097	191.32	0.044	2.55
1362.529	64.52	-0.0962	2.6
1389.5097	25.68	-0.1572	2.65
1229.9677	132.52	0.0127	2.7
794.2903	123.02	0.0838	2.75
1373.4903	226.5	0.0976	2.8
1475.0258	44.24	-0.1321	2.85
1296.7419	93.32	-0.049	2.9
1332.7032	121.36	-0.0151	2.95
1137.5742	169.78	0.0759	3.0
1398.8774	123.44	-0.02	3.05
390.5161	-96.24	-1.3663	3.1
-12.1226	40.38	1.2119	3.15
122.4645	27.0	0.1672	3.2
257.6452	28.86	0.0196	3.25
93.7871	138.96	0.6972	3.3
-83.2839	-25.68	0.2577	3.35
364.0839	38.1	0.0077	3.4
-115.0839	80.8	3.9689	3.45
75.8839	-40.04	22.7011	3.5
309.9548	4.16	-0.1686	3.55
93.6516	17.82	0.1308	3.6
66.1097	2.04	-0.1302	3.65
52.1742	-63.08	1.8462	3.7
-71.1548	-5.84	-0.0308	3.75
81.7161	-43.6	18.8814	3.8
208.9548	86.46	0.3434	3.85
120.2	-59.8	-239.4	3.9
189.0065	-45.48	-1.3133	3.95
-40.3806	-45.68	0.6322	4.0
308.6968	-15.72	-0.3361	4.05
163.0645	23.26	0.0664	4.1
-203.5742	112.5	12.4016	4.15
130.471	-17.4	-0.6365	4.2
291.6387	-7.64	-0.2663	4.25
241.1161	-20.36	-0.4438	4.3
147.1355	-60.52	-5.766	4.35
189.5097	39.14	0.1508	4.4
30.129	-63.12	1.3762	4.45
-12.3806	-54.52	0.8776	4.5
-19.2968	76.04	1.1744	4.55
101.9871	-115.84	1.9436	4.6
99.9161	62.02	0.4646	4.65
-17.7484	45.52	1.2906	4.7
-20.4645	38.82	1.4295	4.75
-29.4839	78.56	1.2772	4.8
306.1806	-29.1	-0.4816	4.8500000000000005
5.1548	84.22	0.9644	4.9
275.9484	15.38	-0.0797	4.95
70.4387	-60.52	2.6704	5.0
-189.729	-29.7	0.0861	5.05
-90.7355	-65.76	0.5101	5.1000000000000005
-125.1032	-36.86	0.2449	5.15
-117.9161	24.08	-1.0285	5.2
109.5613	55.18	0.4022	5.25
371.129	-62.82	-0.8142	5.3
-73.671	-142.44	0.7534	5.3500000000000005
316.5161	-50.78	-0.767	5.4
323.1935	-108.58	-2.6576	5.45
87.1806	-6.66	-0.4164	5.5
-11.3677	-28.6	0.8011	5.55
20.6258	138.52	0.9168	5.6000000000000005
-11.2516	-78.52	0.9198	5.65
77.8	-112.1	1.6377	5.7
168.871	-29.68	-0.8505	5.75
75.8387	133.92	0.7352	5.8
50.1226	-148.86	1.2429	5.8500000000000005
220.7613	-32.36	-0.6977	5.9
20.4129	-54.26	1.278	5.95
140.1419	-74.1	21.8698	6.0
8.4774	4.04	0.3856	6.05
93.3742	147.2	0.711	6.1000000000000005
84.2258	124.52	0.6967	6.15
-1.2968	109.38	1.0072	6.2
-13.4323	77.76	1.1134	6.25
27.4774	155.28	0.9025	6.3
89.2774	-44.06	-91.5619	6.3500000000000005
331.8387	3.24	-0.177	6.4
158.4516	-29.14	-0.8982	6.45
-58.1935	-2.44	-0.1072	6.5
204.7355	-0.96	-0.2114	6.55
108.0452	83.7	0.5293	6.6000000000000005
-27.0645	36.1	1.7196	6.65
49.4323	-59.86	1.8439	6.7
97.5742	-143.7	1.6168	6.75
81.729	25.34	0.2593	6.8
36.9484	3.96	0.0118	6.8500000000000005
257.4129	43.38	0.1025	6.9
-16.729	87.22	1.1273	6.95
3.0452	27.3	0.9366	7.0
146.4129	26.74	0.1211	7.05
