DemDexc	AemDexc	E	T
1580.75	332.5742	0.1554	0.05
1029.15	457.129	0.3645	0.1
1184.15	387.6	0.2748	0.15000000000000002
1007.7	575.6645	0.4399	0.2
1152.5	295.1935	0.2065	0.25
1125.55	363.3032	0.2708	0.3
1286.7	512.8194	0.3323	0.35000000000000003
935.3	568.729	0.4585	0.4
987.55	492.5806	0.3993	0.45
711.7	448.6774	0.4692	0.5
883.9	471.2323	0.4192	0.55
818.9	421.1161	0.4084	0.6000000000000001
1118.85	587.0129	0.4144	0.6500000000000001
727.05	400.9032	0.4293	0.7000000000000001
555.0	342.8323	0.4632	0.7500000000000001
486.2	521.5742	0.6185	0.8
436.8	356.0516	0.5438	0.8500000000000001
414.1	382.6516	0.5787	0.9000000000000001
410.5	352.2839	0.5582	0.9500000000000001
363.9	385.5355	0.6153	1.0
858.7	282.0065	0.2757	1.05
731.9	408.2516	0.4328	1.1
208.95	331.0387	0.7121	1.1500000000000001
419.4	308.8774	0.5147	1.2000000000000002
434.8	389.4516	0.5701	1.2500000000000002
367.05	455.5613	0.6554	1.3
540.25	500.6258	0.5794	1.35
484.45	418.0065	0.5597	1.4000000000000001
388.35	487.1742	0.658	1.4500000000000002
365.6	442.2	0.649	1.5000000000000002
125.95	626.0774	0.8903	1.55
297.95	381.7742	0.6632	1.6
465.65	297.5032	0.4732	1.6500000000000001
245.25	333.9419	0.6777	1.7000000000000002
430.2	477.3935	0.6273	1.7500000000000002
346.45	318.6323	0.5774	1.8
196.95	340.5419	0.7308	1.85
289.55	375.9355	0.6664	1.9000000000000001
230.8	287.5355	0.6563	1.9500000000000002
60.45	312.8903	0.8943	2.0
174.25	517.7742	0.8272	2.05
258.75	331.7161	0.6633	2.1
229.95	440.1419	0.7515	2.15
567.8	322.2968	0.438	2.1999999999999997
528.65	325.6323	0.4624	2.25
302.4	202.3677	0.4868	2.3
577.7	254.9742	0.3626	2.35
507.4	430.3419	0.5549	2.4
248.8	337.8194	0.677	2.45
330.25	360.4839	0.623	2.5
202.6	315.1871	0.7081	2.55
159.6	418.129	0.8077	2.6
28.05	441.2129	0.963	2.65
306.0	202.7806	0.484	2.7
501.05	462.5419	0.5784	2.75
240.55	286.3419	0.645	2.8
498.7	330.4903	0.484	2.85
405.95	415.5871	0.6062	2.9
302.6	440.729	0.6933	2.95
579.45	307.0645	0.4174	3.0
310.35	485.2839	0.7093	3.05
525.45	327.8065	0.4661	3.1
686.25	464.4	0.4901	3.15
98.65	440.8065	0.8792	3.2
37.35	286.1484	0.9265	3.25
256.95	366.2323	0.6884	3.3
194.9	441.8581	0.7832	3.35
149.05	496.329	0.8433	3.4
96.95	413.1032	0.874	3.45
201.35	385.2839	0.7514	3.5
318.25	371.7097	0.6403	3.55
387.85	461.0774	0.6447	3.6
256.4	389.0258	0.7026	3.65
178.65	574.0839	0.8384	3.7
355.85	542.0581	0.7035	3.75
376.6	409.4581	0.622	3.8
156.2	334.1032	0.7726	3.85
80.5	353.129	0.8772	3.9
492.5	421.5871	0.5575	3.95
744.75	284.5161	0.3198	4.0
180.7	426.5032	0.7902	4.05
530.4	374.2258	0.5023	4.1
654.3	379.5032	0.4445	4.15
527.55	462.2065	0.564	4.2
596.25	389.329	0.4796	4.25
562.95	332.4839	0.4498	4.3
411.95	529.5613	0.664	4.35
958.3	582.6387	0.4585	4.4
400.2	446.329	0.6285	4.45
324.55	507.5935	0.7093	4.5
283.25	319.471	0.6314	4.55
446.75	343.9484	0.5275	4.6
324.95	491.4	0.7018	4.65
525.2	274.7613	0.4136	4.7
367.15	388.2323	0.6147	4.75
341.75	248.8516	0.5115	4.8
661.75	567.2129	0.5579	4.8500000000000005
574.5	323.2258	0.4354	4.9
317.95	276.2194	0.5616	4.95
695.3	345.2516	0.3979	5.0
188.0	401.0387	0.7721	5.05
363.45	432.7419	0.6451	5.1000000000000005
791.45	359.3484	0.3711	5.15
295.9	458.4194	0.7072	5.2
503.0	436.8839	0.5616	5.25
498.4	439.1613	0.5656	5.3
272.45	586.3419	0.7738	5.3500000000000005
339.4	401.9806	0.6438	5.4
528.8	374.3548	0.5033	5.45
56.3	537.8258	0.9403	5.5
71.15	571.8645	0.9297	5.55
225.6	341.8516	0.7023	5.6000000000000005
