DemDexc	AemDexc	E	T
1218.92	370.06	0.2534	0.05
820.4	238.4	0.2411	0.1
433.98	189.34	0.3592	0.15000000000000002
212.74	270.86	0.6616	0.2
173.62	253.04	0.6935	0.25
410.34	320.32	0.5315	0.3
156.02	297.64	0.7508	0.35000000000000003
447.1	439.84	0.5956	0.4
515.22	254.88	0.3968	0.45
176.72	152.66	0.5601	0.5
390.1	344.8	0.5664	0.55
176.82	310.46	0.734	0.6000000000000001
67.58	429.86	0.9125	0.6500000000000001
304.28	378.4	0.6559	0.7000000000000001
212.78	256.64	0.6483	0.7500000000000001
311.74	373.54	0.6467	0.8
296.36	445.78	0.7006	0.8500000000000001
352.62	271.02	0.527	0.9000000000000001
47.44	381.8	0.9298	0.9500000000000001
270.18	350.0	0.6658	1.0
316.12	243.14	0.5272	1.05
155.9	182.58	0.641	1.1
463.98	178.0	0.321	1.1500000000000001
215.6	114.6	0.4183	1.2000000000000002
297.84	160.82	0.4231	1.2500000000000002
471.28	83.14	0.113	1.3
314.7	142.2	0.3697	1.35
311.02	145.5	0.38	1.4000000000000001
272.56	255.08	0.5821	1.4500000000000002
263.58	112.9	0.3537	1.5000000000000002
70.2	178.08	0.8024	1.55
180.54	123.14	0.4924	1.6
276.74	317.0	0.6354	1.6500000000000001
45.22	73.06	0.7164	1.7000000000000002
125.96	111.38	0.5666	1.7500000000000002
137.68	202.48	0.6955	1.8
355.34	238.72	0.488	1.85
134.42	419.8	0.8344	1.9000000000000001
136.98	302.42	0.7784	1.9500000000000002
291.56	211.58	0.5105	2.0
355.1	433.88	0.6515	2.05
569.84	433.68	0.5242	2.1
266.14	381.7	0.6898	2.15
183.32	289.5	0.7114	2.1999999999999997
145.4	295.66	0.7632	2.25
67.92	208.64	0.832	2.3
570.92	346.42	0.4579	2.35
411.82	163.68	0.3314	2.4
315.54	245.0	0.5299	2.45
94.62	199.82	0.7703	2.5
291.5	154.64	0.4178	2.55
245.38	95.94	0.3266	2.6
202.72	172.86	0.5564	2.65
182.12	235.44	0.6653	2.7
178.84	120.8	0.4896	2.75
88.06	122.52	0.6828	2.8
84.26	222.68	0.8091	2.85
291.4	200.52	0.495	2.9
172.36	110.7	0.4747	2.95
177.26	189.08	0.617	3.0
378.32	364.2	0.5898	3.05
471.92	259.48	0.4285	3.1
311.3	397.72	0.6625	3.15
199.76	146.98	0.5145	3.2
322.1	416.02	0.6651	3.25
485.24	355.84	0.5135	3.3
193.94	289.96	0.6993	3.35
277.1	372.02	0.6744	3.4
343.8	340.58	0.5975	3.45
271.68	320.4	0.6427	3.5
43.4	308.4	0.9211	3.55
124.54	357.06	0.8218	3.6
145.06	185.78	0.6631	3.65
89.46	157.56	0.7347	3.7
73.56	288.7	0.8644	3.75
388.74	161.84	0.3452	3.8
122.52	337.34	0.8156	3.85
